"brain__DBA.2J"	"colon__DBA.2J"	"heart__DBA.2J"	"kidney__DBA.2J"	"liver__DBA.2J"	"lung__DBA.2J"	"skeletal.muscle__DBA.2J"	"spleen__DBA.2J"	"testis__DBA.2J"	"brain__C57BL.6"	"colon__C57BL.6"	"kidney__C57BL.6"	"liver__C57BL.6"	"lung__C57BL.6"	"skeletal.muscle__C57BL.6"	"spleen__C57BL.6"	"testis__C57BL.6"	"brain__CD1"	"colon__CD1"	"heart__CD1"	"kidney__CD1"	"liver__CD1"	"lung__CD1"	"skeletal.muscle__CD1"	"spleen__CD1"	"testis__CD1"	"metadata"
"ENSMUSG00000038486"	14608	52	122	368	0	30	29	205	45	11741	72	596	5	25	51	118	34	13524	124	55	572	9	52	7	132	32	"Sv2a synaptic vesicle glycoprotein 2 a"
"ENSMUSG00000038496"	89	1081	37	422	0	95	6	8	11	34	328	462	1	136	5	4	0	44	471	34	463	0	75	0	7	8	"Slc19a3 solute carrier family 19, member 3"
"ENSMUSG00000038521"	11	409	709	200	10967	959	893	961	162	17	701	393	10742	1153	1065	1102	98	8	465	1049	131	8855	906	609	721	98	"C1s1 complement component 1, s subcomponent 1"
"ENSMUSG00000038522"	4	13	104	4121	2134	30	146	0	17	11	3	4011	1477	38	237	0	12	6	2	42	3046	1845	27	244	1	6	"Mfsd4b1 major facilitator superfamily domain containing 4B1"
"ENSMUSG00000038527"	7	23	44	581	5300	148	29	30	52	10	96	763	6059	123	24	48	69	0	124	81	683	5908	169	193	50	62	"C1rl complement component 1, r subcomponent-like"
"ENSMUSG00000038530"	7414	160	1631	116	161	532	514	153	65	8246	111	85	38	234	330	40	45	7621	145	1503	68	47	325	573	26	40	"Rgs4 regulator of G-protein signaling 4"
"ENSMUSG00000038543"	19	22	355	22	26	827	42	231	28	24	39	43	22	1237	55	211	40	21	37	395	32	9	690	113	154	19	"BC028528 cDNA sequence BC028528"
"ENSMUSG00000038552"	1759	17	129	52	1207	108	31	36	56	1477	20	54	1173	71	55	40	29	1821	35	85	44	961	101	95	32	32	"Fndc4 fibronectin type III domain containing 4"
"ENSMUSG00000038555"	1730	21	9	13	6	15	16	91	2265	2360	60	17	4	30	21	80	3408	2402	60	34	14	6	55	15	112	3024	"Reep2 receptor accessory protein 2"
"ENSMUSG00000038564"	1519	465	762	949	652	1241	1502	636	14887	2092	906	1040	1253	1176	1743	868	17080	1967	657	760	1247	873	1250	1062	695	15406	"Ift172 intraflagellar transport 172"
"ENSMUSG00000038570"	72	12	25	38	10	471	28	6	665	71	8	47	20	307	44	7	557	52	6	8	22	0	183	15	2	617	"Saxo2 stabilizer of axonemal microtubules 2"
"ENSMUSG00000038576"	2806	27	28	218	1197	475	41	20	85	2604	18	158	2385	307	16	13	53	3213	39	30	220	2388	503	11	14	57	"Susd4 sushi domain containing 4"
"ENSMUSG00000038583"	12	39	44914	15	44	68	68	21	41	15	23	25	37	118	105	8	13	18	41	31312	12	26	70	88	12	55	"Pln phospholamban"
"ENSMUSG00000038587"	1844	397	1833	955	172	5186	707	830	107303	716	388	731	274	2728	830	1957	124232	888	545	2569	949	411	5490	1047	1195	106416	"Akap12 A kinase (PRKA) anchor protein (gravin) 12"
"ENSMUSG00000038594"	670	80	762	236	1318	683	3060	246	9064	607	32	142	1013	756	2829	261	8039	506	50	667	137	1395	528	2901	230	8922	"Cep85l centrosomal protein 85-like"
"ENSMUSG00000038599"	0	93	0	11	444	13	0	0	98	0	74	2	224	15	0	0	42	0	43	0	2	170	6	0	0	51	"Capn8 calpain 8"
"ENSMUSG00000038600"	5	2	32	6812	6	91	1	8	20	8	8	5955	9	44	36	6	11	9	0	42	9070	24	107	22	24	9	"Atp6v0a4 ATPase, H+ transporting, lysosomal V0 subunit A4"
"ENSMUSG00000038602"	2328	25	55	137	22	6	20	7	6	1750	29	133	12	0	44	5	10	2170	43	51	89	9	7	15	2	2	"Slc35f1 solute carrier family 35, member F1"
"ENSMUSG00000038608"	2037	752	426	238	157	1742	176	6336	73	1717	717	196	172	1637	211	7411	40	1110	622	488	197	185	1268	146	5363	40	"Dock10 dedicator of cytokinesis 10"
"ENSMUSG00000038637"	74	199	67	288	172	265	91	119	4740	106	264	314	253	215	102	130	5649	106	151	115	397	144	226	131	141	4290	"Lrrc56 leucine rich repeat containing 56"
"ENSMUSG00000038663"	13	2	7774	55	2	146	29369	10	41	10	11	20	10	120	22206	99	10	15	0	5052	20	3	104	15434	19	47	"Fsd2 fibronectin type III and SPRY domain containing 2"
"ENSMUSG00000038670"	15	24	756	26	0	92	438664	104	15	8	25	7	4	43	335421	101	22	9	45	1074	103	12	49	210263	314	79	"Mybpc2 myosin binding protein C, fast-type"
"ENSMUSG00000038677"	91	23	9	70	0	77	12	108	605	193	37	152	11	33	11	96	798	151	17	4	153	15	107	18	52	348	"Scube3 signal peptide, CUB domain, EGF-like 3"
"ENSMUSG00000038704"	36	30	14	2807	2773	1	1	3	63	79	40	1553	4124	1	1	4	166	95	12	4	2276	3393	3	7	7	28	"Aspdh aspartate dehydrogenase domain containing"
"ENSMUSG00000038725"	9	14	445	3	7	245	10	237	160	20	31	7	10	80	2	241	123	15	19	369	0	9	280	40	1436	115	"Pkhd1l1 polycystic kidney and hepatic disease 1-like 1"
"ENSMUSG00000038729"	5	3	35	17	2	57	279	7	70	8	3	12	1	19	9	4	60	14	0	34	20	3	69	22	6	93	"Pakap paralemmin A kinase anchor protein"
"ENSMUSG00000038738"	10098	43	23	43	5	38	21	420	684	11076	99	70	7	10	70	398	730	12862	147	13	83	18	91	29	609	460	"Shank1 SH3 and multiple ankyrin repeat domains 1"
"ENSMUSG00000038742"	26	20	23	12	234	13	71	11	4	39	15	6	284	10	61	8	4	86	35	47	24	247	6	55	12	2	"Angptl6 angiopoietin-like 6"
"ENSMUSG00000038745"	11	8528	2	3427	6991	3	1	45	6	24	8380	3829	11972	18	0	10	13	28	6541	0	4486	12298	5	0	15	8	"Nlrp6 NLR family, pyrin domain containing 6"
"ENSMUSG00000038759"	851	1546	567	732	533	869	790	1323	20042	900	761	597	639	583	698	1472	14266	855	799	641	592	643	628	598	1855	12612	"Nup205 nucleoporin 205"
"ENSMUSG00000038763"	13	137	1532	19	1	39	12519	30	52	18	185	14	18	34	10762	18	33	44	149	1044	14	12	75	13139	22	100	"Alpk3 alpha-kinase 3"
"ENSMUSG00000038775"	12	5	2	2486	20	254	5	2	280	225	71	3217	41	360	26	98	289	298	153	42	4985	56	296	51	128	238	"Vill villin-like"
"ENSMUSG00000038777"	318	36	90	100	38	68	4735	35	924	372	37	66	63	53	4784	38	1202	469	70	51	91	21	140	6349	29	743	"Sema6c sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C"
"ENSMUSG00000038797"	156	55	48	163	146	87	41	150	2858	153	82	121	111	103	52	195	2779	173	60	106	197	106	133	80	141	2442	"Zscan2 zinc finger and SCAN domain containing 2"
"ENSMUSG00000038807"	4881	681	1087	681	15	296	599	468	287	4888	727	888	36	359	500	721	183	6523	700	866	794	29	317	412	660	282	"Rap1gap2 RAP1 GTPase activating protein 2"
"ENSMUSG00000038836"	240	23	161	300	183	193	86	119	3099	175	20	328	120	175	67	89	2436	188	27	85	322	170	151	106	88	2315	"Agbl3 ATP/GTP binding protein-like 3"
"ENSMUSG00000038843"	77	144	829	17128	31	250	58	1194	31	62	86	15744	11	214	7	780	13	31	95	212	30	35	85	11	485	21	"Gcnt1 glucosaminyl (N-acetyl) transferase 1, core 2"
"ENSMUSG00000038860"	2347	52	182	40	4	432	66	112	2691	2427	39	45	16	348	55	105	2756	2808	56	229	30	12	374	66	99	2945	"Garnl3 GTPase activating RANGAP domain-like 3"
"ENSMUSG00000038936"	2080	1225	1944	580	186	485	2191	194	13006	1207	1143	732	60	563	1867	119	11337	1223	690	1410	556	115	388	1854	124	14051	"Sccpdh saccharopine dehydrogenase (putative)"
"ENSMUSG00000038943"	153	660	111	66	55	115	115	447	2176	145	293	65	26	92	101	622	2768	136	324	187	121	91	138	109	1372	2105	"Prc1 protein regulator of cytokinesis 1"
"ENSMUSG00000038963"	46	284	2	272	5	43	16	61	1	67	182	970	6	51	17	102	1	44	147	8	947	0	72	55	88	2	"Slco4a1 solute carrier organic anion transporter family, member 4a1"
"ENSMUSG00000038984"	1334	29	251	71	38	73	42	22	539	984	14	97	16	68	51	11	524	1301	12	212	70	32	57	47	14	630	"Tspyl5 testis-specific protein, Y-encoded-like 5"
"ENSMUSG00000038987"	36	83	5	17	6	157	17	14	2262	75	86	22	9	209	25	10	2442	49	87	4	38	18	132	7	13	2517	"Cfap157 cilia and flagella associated protein 157"
"ENSMUSG00000039021"	10	105	0	13	1	230	3	10	4402	40	83	13	2	255	12	6	4260	31	87	4	30	3	224	33	15	4483	"Ttc16 tetratricopeptide repeat domain 16"
"ENSMUSG00000039037"	2187	7	9	50	1	15	71	127	46	2028	5	68	1	30	31	76	30	3127	10	0	56	0	60	18	75	40	"St6galnac5 ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5"
"ENSMUSG00000039057"	917	9	0	0	2	36	2	26	50	683	37	2	3	10	1	21	81	826	83	0	0	9	25	0	48	68	"Myo16 myosin XVI"
"ENSMUSG00000039058"	3088	5	5	193	5	22	8	5	51	4210	6	93	1	15	32	6	108	4967	2	4	91	18	25	22	4	62	"Ak5 adenylate kinase 5"
"ENSMUSG00000039062"	57	131676	283	7596	4748	1762	409	614	53	49	197552	6636	6361	1110	294	928	34	50	72112	713	8115	7260	1650	365	768	44	"Anpep alanyl (membrane) aminopeptidase"
"ENSMUSG00000039063"	22	163	776	1050	2910	177	365	37	100	14	119	789	2899	144	283	38	66	15	140	420	1015	2127	150	354	33	70	"Echdc3 enoyl Coenzyme A hydratase domain containing 3"
"ENSMUSG00000039084"	9	81	21	8	82	853	27	63	9	7	40	19	309	316	682	130	30	6	89	21	24	294	483	1452	112	21	"Chad chondroadherin"
"ENSMUSG00000039099"	11	6	2	58	51	122	20	1	3100	13	11	72	56	91	7	0	2379	11	2	0	58	50	75	58	0	2896	"Wdr93 WD repeat domain 93"
"ENSMUSG00000039103"	180	177	13562	93	51	487	19556	199	254	266	288	112	26	803	27347	202	221	34	266	8058	70	41	695	16551	97	318	"Nexn nexilin"
"ENSMUSG00000039109"	36	4	2587	13	11	708	1461	302	212	46	40	33	3	611	636	253	125	31	58	4560	30	21	516	741	445	165	"F13a1 coagulation factor XIII, A1 subunit"
"ENSMUSG00000039110"	59	77	2	87	4	481	1	9	8045	84	405	208	9	392	4	7	11764	52	198	4	214	3	265	4	8	10191	"Mycbpap MYCBP associated protein"
"ENSMUSG00000039114"	1819	27	64	1	5972	628	15	29	48	2523	22	3	4176	252	21	31	40	2506	165	225	2	4686	195	26	25	40	"Nrn1 neuritin 1"
"ENSMUSG00000039116"	72	136	129	76	61	3000	54	414	6	93	102	98	42	2130	44	278	4	29	78	144	77	71	2487	117	392	23	"Adgrg6 adhesion G protein-coupled receptor G6"
"ENSMUSG00000039126"	3506	115	1085	41	10	165	131	64	45	2511	88	24	17	133	85	54	29	2886	138	1066	103	153	134	109	143	17	"Prune2 prune homolog 2"
"ENSMUSG00000039131"	15	3868	88	2488	9	835	1	10	103	27	4578	2484	4	867	2	4	145	17	3920	34	2357	6	606	4	5	153	"Gipc2 GIPC PDZ domain containing family, member 2"
"ENSMUSG00000039179"	367	1	2	7	1	172	0	2	4876	172	0	11	0	103	6	0	4597	205	0	0	26	0	149	4	3	4677	"Tekt5 tektin 5"
"ENSMUSG00000039187"	13	129	23	15	7	32	5	173	752	21	94	15	11	27	10	199	707	29	74	17	40	12	23	11	313	384	"Fanci Fanconi anemia, complementation group I"
"ENSMUSG00000039193"	23	1804	74	213	46	128	17	712	193	16	1658	248	37	133	4	513	225	32	1084	59	209	44	62	4	421	214	"Nlrc4 NLR family, CARD domain containing 4"
"ENSMUSG00000039197"	1169	1172	4535	2586	24248	1513	1771	341	391	723	828	2616	16688	1354	1632	331	354	980	872	3605	3620	15468	1408	2572	602	458	"Adk adenosine kinase"
"ENSMUSG00000039217"	353	1552	71	55	451	353	49	500	53	307	2745	60	382	267	36	411	32	231	1037	38	46	150	212	7	535	40	"Il18 interleukin 18"
"ENSMUSG00000039232"	5	43	78	26	20	553	7	685	11	2	40	37	12	474	15	410	8	2	62	195	38	24	408	36	709	2	"Stx11 syntaxin 11"
"ENSMUSG00000039238"	17	4	5	159	265	123	2	7	15	8	17	193	558	86	19	8	14	8	31	8	209	961	103	26	6	8	"Zfp750 zinc finger protein 750"
"ENSMUSG00000039252"	2932	63	44	56	9	242	456	23	305	2011	133	17	12	151	606	24	45	2084	173	55	42	24	262	299	25	225	"Lgi2 leucine-rich repeat LGI family, member 2"
"ENSMUSG00000039254"	308	577	276	1236	472	264	691	248	9240	437	452	1136	957	293	581	353	7842	414	551	365	1491	658	378	536	478	9656	"Pomt1 protein-O-mannosyltransferase 1"
"ENSMUSG00000039264"	2	565	53	40	38	360	8	3346	3	3	1538	104	111	1168	17	8578	23	3	1751	76	34	41	545	15	4232	4	"Gimap3 GTPase, IMAP family member 3"
"ENSMUSG00000039298"	617	528	346	664	324	399	710	961	11932	613	404	438	386	335	814	1074	10276	469	419	289	389	267	358	452	1046	11787	"Cdk5rap2 CDK5 regulatory subunit associated protein 2"
"ENSMUSG00000039323"	406	12	0	32	7640	3329	3	110	275	638	15	66	14787	2352	2	35	285	476	25	0	145	19372	1389	7	50	161	"Igfbp2 insulin-like growth factor binding protein 2"
"ENSMUSG00000039330"	1	8	2	0	1	2	233	5	6625	2	39	0	2	0	21	2	7510	3	37	0	38	0	2	33	3	5841	"Tsga10ip testis specific 10 interacting protein"
"ENSMUSG00000039364"	0	9355	0	715	18	5	0	0	126	0	20819	2069	0	0	0	0	36	0	10638	0	2208	0	2	0	0	45	"Sectm1b secreted and transmembrane 1B"
"ENSMUSG00000039372"	390	12	0	0	0	154	98	9	43	414	20	0	0	72	47	8	23	474	17	0	0	0	122	29	7	2	"Marchf4 membrane associated ring-CH-type finger 4"
"ENSMUSG00000039375"	813	1	7	38	0	7	1	1	427	901	3	31	0	6	10	0	418	864	4	4	14	0	4	11	1	395	"Wdr17 WD repeat domain 17"
"ENSMUSG00000039376"	5	13	1235	108	1	26	12933	5	57	12	9	75	5	35	8617	6	54	17	8	1227	143	18	83	11158	5	40	"Synpo2l synaptopodin 2-like"
"ENSMUSG00000039384"	160	72	134	11	93	122	1852	347	621	97	109	31	136	124	3751	284	602	102	103	153	38	65	161	2259	239	775	"Dusp10 dual specificity phosphatase 10"
"ENSMUSG00000039385"	1157	44	18	157	11	46	16	92	12	837	48	154	21	82	15	58	2	561	25	13	75	12	30	7	6	13	"Cdh6 cadherin 6"
"ENSMUSG00000039391"	73	2	14	10	0	158	13	14	8050	56	0	4	0	180	14	8	8110	86	2	0	14	0	73	18	7	7516	"Ccdc81 coiled-coil domain containing 81"
"ENSMUSG00000039419"	4591	23	0	7	0	93	801	6	1170	3255	29	3	0	0	160	0	1103	2326	6	4	36	3	52	361	4	1207	"Cntnap2 contactin associated protein-like 2"
"ENSMUSG00000039438"	1	9	5	9795	9736	51	2	11	53	2	9	4793	7889	28	2	2	79	3	27	0	7982	7177	36	4	3	53	"Ttc36 tetratricopeptide repeat domain 36"
"ENSMUSG00000039485"	11377	123	403	202	38	472	61	301	451	7219	128	274	95	456	111	253	423	8701	159	331	177	35	396	62	255	641	"Tspyl4 TSPY-like 4"
"ENSMUSG00000039496"	42	16	401	25	27	26	2084	14	109	27	18	38	26	27	3008	20	148	28	21	200	34	21	48	2149	17	144	"Cdnf cerebral dopamine neurotrophic factor"
"ENSMUSG00000039519"	446	60	35	5653	46108	189	15	49	5	297	76	7702	29211	75	9	42	21	304	93	42	6681	34926	141	4	45	4	"Cyp7b1 cytochrome P450, family 7, subfamily b, polypeptide 1"
"ENSMUSG00000039529"	88	7380	456	229	2667	612	105	106	59	126	4004	228	1380	402	89	122	52	72	2838	446	169	1551	304	99	124	44	"Atp8b1 ATPase, class I, type 8B, member 1"
"ENSMUSG00000039533"	3042	5	0	15	378	0	1	0	1430	2558	11	20	318	0	11	2	1184	2387	8	0	24	734	0	0	0	1330	"Mmd2 monocyte to macrophage differentiation-associated 2"
"ENSMUSG00000039542"	6957	248	69	139	4	52	212	76	583	5304	314	136	18	51	343	101	624	5941	341	115	143	6	105	277	80	329	"Ncam1 neural cell adhesion molecule 1"
"ENSMUSG00000039543"	34	1	0	46	0	279	38	3	8383	83	5	46	1	270	32	7	9252	54	0	4	46	6	139	15	1	7346	"Cfap70 cilia and flagella associated protein 70"
"ENSMUSG00000039577"	308	12	28	51	0	95	16	47	1219	579	8	46	6	70	15	49	1276	607	17	25	101	6	111	22	56	931	"Nphp4 nephronophthisis 4 (juvenile) homolog (human)"
"ENSMUSG00000039632"	75	2	9	103	111	126	2	1	2286	153	2	109	181	156	1	2	2575	151	2	4	103	200	110	0	5	2777	"Odad3 outer dynein arm docking complex subunit 3"
"ENSMUSG00000039661"	1150	5	16	7	0	22	199	10	1	1626	243	12	0	43	2148	10	5	1266	25	38	26	0	13	704	19	2	"Dusp26 dual specificity phosphatase 26 (putative)"
"ENSMUSG00000039676"	26	8	0	6	1	309	0	6	338	49	12	11	3	298	2	8	369	32	0	0	16	6	146	0	5	356	"Capsl calcyphosine-like"
"ENSMUSG00000039699"	9	778	25	31	11	83	14	56	13	1	963	35	18	54	12	83	13	0	562	38	22	21	105	11	57	9	"Batf2 basic leucine zipper transcription factor, ATF-like 2"
"ENSMUSG00000039716"	6314	35	0	1	1	0	2	3	1208	5924	59	2	1	1	22	3	746	6242	62	21	6	9	12	4	3	811	"Dock3 dedicator of cyto-kinesis 3"
"ENSMUSG00000039738"	640	663	175	788	160	406	239	752	9253	704	613	920	233	279	363	1164	10757	829	504	221	894	282	444	182	967	8973	"Slx4 SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae)"
"ENSMUSG00000039782"	2158	856	633	820	1449	382	994	240	11668	1464	260	583	1008	224	1079	233	10476	1941	386	492	387	588	307	467	212	13232	"Cpeb2 cytoplasmic polyadenylation element binding protein 2"
"ENSMUSG00000039783"	5	141	39	3206	14424	173	35	2160	29	13	191	3950	14188	264	26	1915	52	5	235	119	3362	13884	116	7	1857	34	"Kmo kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)"
"ENSMUSG00000039809"	8084	7	0	11	780	1	7	1	127	8158	2	17	1249	0	49	1	132	7930	4	0	2	855	1	15	2	178	"Gabbr2 gamma-aminobutyric acid (GABA) B receptor, 2"
"ENSMUSG00000039873"	24	9	272	15	27	36	681	60	4	29	15	17	45	30	229	27	8	40	21	200	26	62	51	332	56	4	"Neurl2 neuralized E3 ubiquitin protein ligase 2"
"ENSMUSG00000039878"	14	3118	7	599	24	7	21	33	10	13	3607	603	37	6	41	18	16	15	4463	4	620	21	9	29	22	19	"Slc39a5 solute carrier family 39 (metal ion transporter), member 5"
"ENSMUSG00000039891"	28	4	8453	10	2	48	36471	12	86	35	12	14	1	81	29640	25	66	47	4	7239	10	0	137	20119	13	93	"Txlnb taxilin beta"
"ENSMUSG00000039903"	29	7	12	16	9	181	6	31	789	25	11	31	10	207	16	25	851	8	12	25	10	12	143	0	23	206	"Eva1c eva-1 homolog C (C. elegans)"
"ENSMUSG00000039914"	747	595	5537	611	1396	371	11728	432	225	641	763	732	1199	508	10662	391	222	708	655	4980	665	1058	409	9866	380	246	"Coq10a coenzyme Q10A"
"ENSMUSG00000039929"	330	304	210	252	132	350	382	651	4633	432	228	233	346	269	350	790	4167	416	355	195	330	614	419	263	905	2843	"Urb1 URB1 ribosome biogenesis 1 homolog (S. cerevisiae)"
"ENSMUSG00000039953"	23630	3662	1582	3933	109	5178	1252	845	1244	23901	3430	3131	159	3989	1096	945	1391	27525	3620	2110	4981	173	9397	1981	1216	1265	"Clstn1 calsyntenin 1"
"ENSMUSG00000039956"	7	1	276	8	1725	44	315	25	154	8	6	65	1801	8	89	34	79	11	2	132	28	1639	8	259	29	79	"Mrap melanocortin 2 receptor accessory protein"
"ENSMUSG00000039963"	56	10	5	10	6	754	6	28	6287	88	12	8	11	537	4	20	6009	49	6	0	16	12	542	0	14	6631	"Ccdc40 coiled-coil domain containing 40"
"ENSMUSG00000039981"	15	605	18	18	17	152	3	1670	27	1	747	71	186	151	6	1496	7	0	471	17	8	21	88	11	1089	17	"Zc3h12d zinc finger CCCH type containing 12D"
"ENSMUSG00000039987"	528	169	1566	369	429	218	10018	989	370	364	103	312	278	251	8873	690	352	343	161	1278	324	420	167	4583	769	403	"Phtf2 putative homeodomain transcription factor 2"
"ENSMUSG00000039997"	27	248	1329	242	270	555	311	2173	19	27	488	351	254	1371	273	4366	47	2	180	1202	52	115	179	106	946	9	"Ifi203 interferon activated gene 203"
"ENSMUSG00000040003"	2410	9	193	355	11	131	61	52	586	1968	22	354	7	117	61	48	693	2395	19	136	272	12	127	146	38	651	"Magi2 membrane associated guanylate kinase, WW and PDZ domain containing 2"
"ENSMUSG00000040009"	1352	22	25	83	1	91	13	356	99	1320	45	70	4	77	17	64	111	1671	35	21	109	6	95	18	237	91	"Gnaz guanine nucleotide binding protein, alpha z subunit"
"ENSMUSG00000040010"	1197	301	67	128	154	232	313	787	5186	709	339	78	160	153	65	882	4343	997	925	217	111	162	260	697	2059	4927	"Slc7a5 solute carrier family 7 (cationic amino acid transporter, y+ system), member 5"
"ENSMUSG00000040016"	158	25	7	760	10	52	183	57	3	93	139	685	6	30	34	40	1	102	178	4	584	3	29	215	72	0	"Ptger3 prostaglandin E receptor 3 (subtype EP3)"
"ENSMUSG00000040035"	13848	133	2	2	5	275	2	8	20	8054	131	9	110	379	22	11	23	10216	138	4	10	21	473	7	36	17	"Disp2 dispatched RND tramsporter family member 2"
"ENSMUSG00000040037"	5794	15	131	36	1	54	68	0	17	6416	26	91	0	106	61	5	30	5481	27	51	20	6	36	120	0	11	"Negr1 neuronal growth regulator 1"
"ENSMUSG00000040055"	1329	1	0	47	1	175	0	2	6	832	5	57	4	203	5	1	4	786	6	0	6	6	139	0	0	21	"Gjb6 gap junction protein, beta 6"
"ENSMUSG00000040061"	49	303	76	70	46	554	23	1960	501	72	425	70	92	452	15	2779	615	70	264	55	66	82	396	18	2046	424	"Plcb2 phospholipase C, beta 2"
"ENSMUSG00000040084"	10	764	51	23	20	92	16	482	3249	67	690	48	34	143	32	804	2592	9	743	110	64	15	92	11	1628	3894	"Bub1b BUB1B, mitotic checkpoint serine/threonine kinase"
"ENSMUSG00000040118"	6012	244	4496	151	27	593	19312	122	270	5823	125	94	23	622	18970	118	160	5985	308	1813	85	35	493	10286	104	199	"Cacna2d1 calcium channel, voltage-dependent, alpha2/delta subunit 1"
"ENSMUSG00000040133"	351	8	7	14	0	5	7	92	41	266	12	18	1	8	5	130	2	324	31	17	14	3	10	33	66	66	"Gpr176 G protein-coupled receptor 176"
"ENSMUSG00000040136"	834	52	578	5	0	9	112	3	43	1033	40	24	0	27	81	3	38	1292	48	420	10	0	27	171	2	79	"Abcc8 ATP-binding cassette, sub-family C (CFTR/MRP), member 8"
"ENSMUSG00000040140"	42	0	5	5	0	0	5	1	35049	38	2	4	0	0	22	2	26762	37	0	13	58	3	1	40	1	22916	"Tdrd6 tudor domain containing 6"
"ENSMUSG00000040170"	28	324	3059	9581	183	23465	984	82	88	18	324	8379	278	12601	374	22	46	96	995	2688	7890	8443	25416	909	55	329	"Fmo2 flavin containing monooxygenase 2"
"ENSMUSG00000040189"	42	397	32	126	5	294	15	62	1230	114	1085	264	12	247	24	96	1096	61	56	25	119	18	260	22	56	2951	"Odad1 outer dynein arm docking complex subunit 1"
"ENSMUSG00000040195"	145	336	189	174	249	212	199	427	4048	150	245	156	224	174	150	501	3878	206	180	153	129	235	208	139	712	4503	"1700012D01Rik RIKEN cDNA 1700012D01 gene"
"ENSMUSG00000040205"	9	10	39	1	0	1	192	0	128	7	6822	0	1	0	105	0	88	8	6786	34	4	6	0	120	29	93	"Cuzd1 CUB and zona pellucida-like domains 1"
"ENSMUSG00000040213"	121	151	491	2694	6389	175	252	129	185	102	190	1179	5620	118	236	87	162	95	262	416	2196	5799	143	336	79	314	"Kyat3 kynurenine aminotransferase 3"
"ENSMUSG00000040219"	116	37	518	222	6	495	110	57	2880	82	60	255	18	412	148	71	3447	132	68	862	348	21	400	95	82	4167	"Ttc12 tetratricopeptide repeat domain 12"
"ENSMUSG00000040247"	7	141	97	11	16	130	111	2447	17	16	339	12	14	342	103	2356	26	11	374	93	8	12	125	51	1535	11	"Tbc1d10c TBC1 domain family, member 10c"
"ENSMUSG00000040264"	3	615	21	9	89	38	8	551	3	0	455	7	165	11	1	32	5	2	386	25	10	103	28	0	811	2	"Gbp2b guanylate binding protein 2b"
"ENSMUSG00000040265"	7339	71	449	322	29	319	367	53	1318	4598	80	384	19	247	330	56	1112	4152	50	395	62	3	405	120	46	976	"Dnm3 dynamin 3"
"ENSMUSG00000040276"	7531	68	28	17	5	38	8	496	535	8882	105	10	8	41	34	535	478	9982	176	13	32	12	46	29	527	443	"Pacsin1 protein kinase C and casein kinase substrate in neurons 1"
"ENSMUSG00000040283"	2	7	1928	551	128	26	199	238	3	4	29	565	207	27	115	165	1	0	33	2114	338	68	38	409	146	0	"Btnl9 butyrophilin-like 9"
"ENSMUSG00000040287"	38	34	28	14	24	14	11147	51	58	86	28	12	37	32	11651	43	46	75	27	17	14	35	23	7670	32	47	"Stac3 SH3 and cysteine rich domain 3"
"ENSMUSG00000040312"	88	214	94	190	77	145	78	226	16035	190	316	170	158	195	102	287	24779	119	316	110	290	97	215	102	413	15209	"Cchcr1 coiled-coil alpha-helical rod protein 1"
"ENSMUSG00000040323"	6	5	71	5	1	123	7	2	3	4	6	0	3	4	1	1	3	43	140	115	207	191	4	62	1	26	"NA NA"
"ENSMUSG00000040345"	9	301	159	35	43	449	30	2398	13	10	498	53	82	405	30	2699	22	15	622	217	30	112	533	84	2010	17	"Arhgap9 Rho GTPase activating protein 9"
"ENSMUSG00000040387"	587	20	5	75	4	75	2	19	56	431	12	91	3	39	2	8	219	535	35	55	155	0	23	4	13	149	"Klhl32 kelch-like 32"
"ENSMUSG00000040412"	961	924	5	16	97	5519	3	58	10731	1091	1140	6	35	2428	9	172	9019	1255	1270	4	40	18	2793	4	118	9985	"Elapor1 endosome-lysosome associated apoptosis and autophagy regulator 1"
"ENSMUSG00000040424"	984	12	25	10	0	33	247	13	3659	1295	5	10	4	13	242	16	2955	1188	27	13	14	0	42	171	18	2449	"Hipk4 homeodomain interacting protein kinase 4"
"ENSMUSG00000040441"	91	185	2326	85	160	174	120	164	156	171	219	73	209	63	158	179	253	148	169	2840	105	241	176	383	138	113	"Slc26a10 solute carrier family 26, member 10"
"ENSMUSG00000040471"	3	535	5	257	538	30	8	4	3	2	572	185	799	39	2	3	5	0	644	0	4	361	19	0	4	0	"Ggt6 gamma-glutamyltransferase 6"
"ENSMUSG00000040473"	425	30	37	197	1	409	10	4	10621	537	28	267	13	445	19	4	6709	318	8	25	155	12	209	11	2	10913	"Cfap69 cilia and flagella associated protein 69"
"ENSMUSG00000040536"	3611	20	62	1	1842	6	3	1	28	2663	6	2	1602	0	29	0	14	3525	4	127	2	1604	4	7	1	15	"Necab1 N-terminal EF-hand calcium binding protein 1"
"ENSMUSG00000040537"	7719	116	341	200	21	417	84	192	387	6696	74	164	14	361	96	246	338	7060	66	263	143	18	276	135	307	272	"Adam22 a disintegrin and metallopeptidase domain 22"
"ENSMUSG00000040543"	1769	59	101	224	2	1030	248	133	205	2507	54	247	12	734	146	227	218	2564	48	42	129	9	788	66	150	47	"Pitpnm3 PITPNM family member 3"
