"cerebellum__Normal"	"frontal__Normal"	"hippocampus__Normal"	"cerebellum__Progranulin"	"frontal__Progranulin"	"hippocampus__Progranulin"	"cerebellum__Sporadic"	"frontal__Sporadic"	"hippocampus__Sporadic"	"Annotation"
"PLAC8"	5.429657	6.178439	3.663066	6.799897	7.905711	7.468194	6.23164	6.367619	5.835877	"placenta specific 8"
"THNSL2"	5.136431	5.935556	5.515422	5.671009	7.590444	7.440732	6.909975	7.356681	7.28556	"threonine synthase like 2"
"CSGALNACT1"	7.484455	10.344426	9.465777	7.918821	10.901517	10.755046	8.278327	10.668014	10.080267	"chondroitin sulfate N-acetylgalactosaminyltransferase 1"
"DACT1"	9.85288	7.246108	6.783597	9.975689	7.924607	7.465013	9.929626	7.868275	7.728771	"dishevelled binding antagonist of beta catenin 1"
"CCNJL"	8.382075	4.885366	6.05191	8.130504	5.890405	5.416327	7.298788	5.865201	6.049553	"cyclin J like"
"GIMAP4"	6.249736	7.367711	7.099201	6.754842	8.841069	8.763769	5.939727	7.15372	7.296362	"GTPase, IMAP family member 4"
"RNF128"	5.152632	7.898682	7.373499	5.357674	6.669137	6.934929	6.228892	7.652172	7.566393	"ring finger protein 128, E3 ubiquitin protein ligase"
"CHAC1"	6.359427	7.692126	5.86211	6.120244	6.043891	4.124274	6.860958	7.302902	6.181152	"ChaC glutathione specific gamma-glutamylcyclotransferase 1"
"MAP3K6"	8.529816	6.68796	4.858877	8.11192	7.984733	6.288019	7.794617	7.329878	6.787454	"mitogen-activated protein kinase kinase kinase 6"
"KIF15"	5.857647	4.663332	3.829547	6.207175	5.984632	5.458137	6.004639	5.443217	5.09914	"kinesin family member 15"
"RPRM"	7.029881	9.611632	9.646253	6.480372	9.143667	8.725669	7.199532	9.179742	8.377635	"reprimo, TP53 dependent G2 arrest mediator homolog"
"ELMO3"	7.007894	4.770315	4.697011	7.120004	5.563732	4.849075	6.568429	4.771604	5.124234	"engulfment and cell motility 3"
"CLSTN2"	2.456	7.594478	6.506434	4.977994	5.581815	6.917316	5.344545	7.230133	6.979402	"calsyntenin 2"
"SHCBP1"	7.116188	4.372907	4.380829	7.214816	5.100592	5.012822	6.871801	4.260444	5.440851	"SHC binding and spindle associated 1"
"SLC47A1"	5.362002	6.140271	6.409866	4.669906	8.177934	7.429899	5.056419	7.778296	7.85981	"solute carrier family 47 member 1"
"MARC2"	5.926697	7.003367	8.411671	4.70709	7.157906	6.672017	6.632741	7.58733	7.451551	"mitochondrial amidoxime reducing component 2"
"MARCH1"	5.094985	7.28893	7.572197	6.037371	7.42337	7.708576	5.578376	7.467542	7.325113	"membrane associated ring-CH-type finger 1"
"NINJ2"	5.950038	7.576852	8.034738	5.447074	8.477763	9.259215	6.799224	8.11771	8.490548	"ninjurin 2"
"HS3ST2"	6.836017	10.185003	7.884762	7.031112	8.006591	7.07722	6.856618	8.983937	8.201316	"heparan sulfate-glucosamine 3-sulfotransferase 2"
"TREM2"	6.271008	7.389842	7.136785	6.231169	8.525657	8.806484	5.799441	7.6376	7.15257	"triggering receptor expressed on myeloid cells 2"
"TRIM36"	4.13704	8.595064	8.625903	5.577622	6.553004	7.409021	5.008451	8.423814	8.391117	"tripartite motif containing 36"
"RASAL1"	5.14591	8.516108	8.05927	5.522967	7.712841	7.814804	6.133488	8.150975	8.145951	"RAS protein activator like 1"
"TBC1D8B"	4.761023	5.906463	7.591411	5.994538	7.348587	7.659697	5.644819	6.538383	7.004996	"TBC1 domain family member 8B"
"GIMAP6"	6.344199	7.40312	7.415954	7.010894	9.166219	9.020349	5.927458	7.342251	7.26962	"GTPase, IMAP family member 6"
"ZFPM2"	12.095629	9.462757	8.69447	11.99222	8.782667	8.326194	11.799494	9.386093	9.722753	"zinc finger protein, FOG family member 2"
"VPS53"	8.597198	4.766227	5.148688	8.436474	5.895897	6.533579	8.119752	6.120876	6.151411	"VPS53, GARP complex subunit"
"SLC13A4"	7.450847	6.426108	10.672109	6.793222	8.661166	6.630607	6.592944	7.867215	8.462744	"solute carrier family 13 member 4"
"UCP3"	6.624587	4.856796	5.030117	6.816649	6.30769	6.372633	6.483432	4.873974	5.800897	"uncoupling protein 3"
"HERC5"	6.224966	6.470647	7.420768	6.267818	8.330331	8.838742	5.792785	7.251976	7.103675	"HECT and RLD domain containing E3 ubiquitin protein ligase 5"
"SLC12A8"	3.101029	6.989335	7.973209	4.266232	6.470246	6.45652	4.507209	6.864095	6.518531	"solute carrier family 12 member 8"
"ZMAT4"	4.200865	8.114186	6.485821	5.096556	5.564387	4.726267	5.767666	7.770367	5.970758	"zinc finger matrin-type 4"
"LHX6"	5.434344	8.687167	8.754901	6.850681	8.256586	7.532719	6.727621	8.719633	8.055548	"LIM homeobox 6"
"MAGEL2"	3.867486	7.714343	6.157471	4.361146	5.367847	5.871922	3.049353	6.993879	6.081545	"MAGE family member L2"
"DKK2"	4.807168	5.571922	6.987812	5.069581	5.3271	4.774072	4.654969	5.505076	5.387166	"dickkopf WNT signaling pathway inhibitor 2"
"POPDC3"	4.824049	8.511623	8.449223	5.450737	8.023296	8.16984	6.81367	8.600334	8.123131	"popeye domain containing 3"
"SLC27A6"	2.634766	3.116982	2.539541	2.701511	3.851733	7.120687	3.064695	2.871524	5.799963	"solute carrier family 27 member 6"
"ADAMTS5"	9.22055	5.083474	6.898038	8.626534	5.200621	6.737479	8.097631	5.41927	6.282386	"ADAM metallopeptidase with thrombospondin type 1 motif 5"
"GALNT6"	4.663663	6.397708	7.311764	6.644948	8.034813	8.746935	5.538662	7.238274	7.541644	"polypeptide N-acetylgalactosaminyltransferase 6"
"ARSJ"	7.151398	4.408736	1.566036	6.837931	5.399946	4.519856	5.869067	4.541195	4.907036	"arylsulfatase family member J"
"P2RY13"	4.565232	4.991303	3.657779	5.042912	7.478465	7.523987	4.21843	5.987821	6.319249	"purinergic receptor P2Y13"
"TBR1"	4.183444	7.902143	7.585168	5.657284	5.28102	5.023132	5.263157	8.265222	6.715463	"T-box, brain 1"
"CLCA4"	4.297763	5.801545	6.483821	4.761397	7.813494	9.334514	4.23929	6.629596	7.613941	"chloride channel accessory 4"
"STYK1"	3.488152	7.07752	5.333994	3.670335	3.766652	2.730292	3.844103	6.866549	5.42225	"serine/threonine/tyrosine kinase 1"
"TUBA8"	6.859807	5.385549	5.495748	7.45702	4.106774	5.474425	7.166828	5.927647	5.144246	"tubulin alpha 8"
"ANKH"	9.042935	7.812625	6.505713	8.998122	7.214878	6.006314	8.642672	7.788931	7.616169	"ANKH inorganic pyrophosphate transport regulator"
"HELLS"	8.131914	3.512947	3.757545	7.908293	4.928666	3.710193	7.520449	3.981779	3.780611	"helicase, lymphoid specific"
"C5AR1"	4.848275	6.236205	6.801739	6.293608	8.261327	7.951119	5.621185	7.250217	6.731801	"complement C5a receptor 1"
"GNA14"	5.184405	7.6289	8.16812	5.650859	7.50155	6.959863	5.525847	8.196155	7.078236	"G protein subunit alpha 14"
"ZNF385D"	8.213068	7.379315	7.336249	8.320067	6.565176	5.027506	8.338802	6.908463	6.349715	"zinc finger protein 385D"
"FXYD7"	6.836175	11.087782	9.653801	7.113951	8.857555	8.591496	8.214985	10.174943	9.300764	"FXYD domain containing ion transport regulator 7"
"TLR7"	4.0411	4.621914	3.187743	3.751483	6.472753	7.103126	3.833027	5.767283	6.272771	"toll like receptor 7"
"EFCAB1"	4.079782	5.112281	6.826695	4.283365	6.973525	8.450871	4.133485	6.488707	7.468834	"EF-hand calcium binding domain 1"
"CASC1"	4.699959	5.434997	7.118272	4.961107	4.999888	7.006266	4.44168	6.072156	6.560514	"cancer susceptibility 1"
"TMEM156"	4.16238	4.628869	4.937564	4.844833	6.069795	6.624384	3.375466	4.439579	5.691634	"transmembrane protein 156"
"CCDC68"	5.387074	6.842652	7.650325	3.36037	6.535844	6.031419	5.379069	6.767047	5.984431	"coiled-coil domain containing 68"
"NANOG"	7.249749	5.227259	4.080926	5.823449	5.709693	5.931414	6.36979	5.782266	6.231556	"Nanog homeobox"
"CHRNA10"	6.611067	5.342883	3.586825	7.221107	5.689539	6.066623	5.880545	5.379629	4.958558	"cholinergic receptor nicotinic alpha 10 subunit"
"SPATA6L"	7.399339	5.333675	6.689231	6.408167	5.16004	6.662561	6.583985	4.659513	5.441356	"spermatogenesis associated 6 like"
"PPP1R17"	8.525194	6.175094	6.294525	8.686408	6.230221	6.170622	9.924908	6.672802	6.792638	"protein phosphatase 1 regulatory subunit 17"
"FBXO17"	8.853643	6.713447	4.6246	8.808428	7.019318	5.654112	8.193584	7.220372	6.234466	"F-box protein 17"
"ZBBX"	2.356056	6.760781	8.435594	2.540395	5.797816	8.558345	2.574516	6.984501	7.305778	"zinc finger B-box domain containing"
"RERGL"	5.482569	5.765323	7.326736	5.326546	7.705354	6.994209	4.418455	5.185425	5.277812	"RERG like"
"GPR88"	3.233256	8.376551	7.470368	4.855054	7.483987	7.757625	4.885782	7.951038	7.415363	"G protein-coupled receptor 88"
"LRAT"	4.057235	4.819864	5.713544	5.121808	5.914914	6.378151	4.332553	5.53244	5.807071	"lecithin retinol acyltransferase"
"VGLL3"	3.824588	3.461049	5.191189	2.996958	5.109909	4.802192	4.32146	3.527822	4.725274	"vestigial like family member 3"
"LRRTM4"	5.452693	7.629982	5.994202	5.256311	6.757156	6.333948	5.034179	7.547013	6.370332	"leucine rich repeat transmembrane neuronal 4"
"CCDC81"	4.857518	3.337873	5.169373	5.679902	4.49951	6.713147	4.071231	5.279661	5.467711	"coiled-coil domain containing 81"
"AGBL2"	5.654995	5.102658	5.834245	4.060602	5.73148	7.481639	5.269437	4.79429	6.505576	"ATP/GTP binding protein like 2"
"LINC00115"	7.817836	5.262461	5.373872	7.925314	5.855524	6.575082	7.643105	5.857791	5.74214	"long intergenic non-protein coding RNA 115"
"TP53AIP1"	4.153171	4.248985	3.568637	5.077452	4.179677	4.529027	5.152505	3.1078	4.513976	"tumor protein p53 regulated apoptosis inducing protein 1"
"CNTNAP3P2"	5.301216	5.458281	6.270508	3.304739	5.058278	5.914321	5.781886	5.589038	5.580539	"contactin associated protein-like 3 pseudogene 2"
"HRH3"	7.478563	6.502038	7.155339	6.794631	5.719951	4.032503	7.98523	7.205752	5.594699	"histamine receptor H3"
"KCNK12"	10.00653	8.67283	6.447522	10.268292	8.032748	7.406498	9.096473	8.148996	7.33502	"potassium two pore domain channel subfamily K member 12"
"SLCO1C1"	6.969933	9.135677	10.195318	6.748711	9.978763	9.423578	7.509682	9.759665	9.242569	"solute carrier organic anion transporter family member 1C1"
"MCOLN3"	3.6508	2.626894	5.858669	3.260948	3.066559	3.480964	3.239221	3.842808	5.504416	"mucolipin 3"
"EPB41L4B"	6.358352	4.88335	5.563468	5.737074	4.044646	4.530843	6.528519	4.456581	3.944198	"erythrocyte membrane protein band 4.1 like 4B"
"C21orf62"	3.095257	5.435647	7.097366	4.149232	7.008745	8.006058	5.01712	6.416961	6.961219	"chromosome 21 open reading frame 62"
"SLC17A6"	5.302939	8.308158	6.921682	3.47811	6.618211	6.122338	4.819258	7.894457	5.885347	"solute carrier family 17 member 6"
"CCDC170"	5.279607	5.387173	6.468303	5.500636	5.188724	7.585181	5.60806	5.668007	6.851875	"coiled-coil domain containing 170"
"DNAI2"	4.661624	4.592336	5.647653	4.910474	5.008344	7.230317	3.937735	4.809946	6.646754	"dynein axonemal intermediate chain 2"
"USP49"	5.413737	4.78957	5.413087	4.805538	3.555461	4.148388	5.68621	4.127101	4.419184	"ubiquitin specific peptidase 49"
"ANP32A.IT1"	7.084517	4.700818	5.635356	7.403496	5.856661	6.733746	6.991645	5.411003	5.849812	"ANP32A intronic transcript 1"
"GREM2"	3.113518	8.11492	6.264467	4.034224	4.909107	5.169762	5.175723	7.079568	5.794623	"gremlin 2, DAN family BMP antagonist"
"STAMBPL1"	3.812776	5.123711	4.80374	4.337464	4.571953	3.445711	5.03052	5.245337	5.281139	"STAM binding protein like 1"
"TRIM46"	5.926114	5.686241	6.582242	4.983541	3.157015	3.638162	6.963427	4.037329	4.802578	"tripartite motif containing 46"
"SPATA1"	4.203963	4.000291	3.397326	5.015294	5.957647	5.91043	3.923733	4.574836	4.347187	"spermatogenesis associated 1"
"MEPE"	5.385777	7.435249	5.892879	6.493253	6.281717	5.736268	4.78179	6.366006	4.54769	"matrix extracellular phosphoglycoprotein"
"USH1C"	4.699934	4.474718	4.773719	4.682964	6.234181	7.213303	4.2701	4.68567	6.516091	"USH1 protein network component harmonin"
"GPR22"	7.969953	8.817541	6.281885	7.592859	6.102506	5.33867	8.142485	8.385718	7.994724	"G protein-coupled receptor 22"
"FGF14"	10.283495	8.278342	6.500651	9.973272	7.197411	6.484815	10.292869	8.565396	8.359368	"fibroblast growth factor 14"
"CHRM5"	5.40427	5.789012	3.44361	5.68094	6.697405	7.450299	4.761388	5.446259	6.038542	"cholinergic receptor muscarinic 5"
"HTR5A"	6.79153	5.923448	6.960359	6.956781	5.076163	4.075699	7.46638	5.451856	5.634166	"5-hydroxytryptamine receptor 5A"
"GRID2"	6.845704	4.59954	4.579651	5.974812	4.586489	5.583575	7.212152	4.830643	5.220721	"glutamate ionotropic receptor delta type subunit 2"
"FGF17"	8.542799	6.508197	6.261782	8.064028	6.531685	6.223165	7.672703	6.316877	5.867247	"fibroblast growth factor 17"
"P2RY4"	6.25514	5.297885	3.561138	5.473323	5.627064	6.33198	5.861528	5.272371	5.797206	"pyrimidinergic receptor P2Y4"
"EMX2"	5.009167	9.318628	8.536245	5.031936	10.711252	10.074837	6.027559	10.215731	8.999823	"empty spiracles homeobox 2"
"EPS15L1"	6.429937	4.955836	4.001135	6.772887	3.111964	3.763366	6.43592	3.992397	4.854071	"epidermal growth factor receptor pathway substrate 15 like 1"
"NSUN6"	8.384556	5.642028	5.984488	8.392631	6.993031	7.004881	7.558767	5.86306	6.457434	"NOP2/Sun RNA methyltransferase family member 6"
"ERV3.2"	5.832188	4.691999	4.682107	5.653876	7.225607	7.587943	6.07292	5.960043	6.104033	"endogenous retrovirus group 3 member 2"
"KIF17"	4.395152	7.8459	6.520418	5.496267	6.267412	6.833077	5.751773	7.421699	6.246326	"kinesin family member 17"
"NAALAD2"	4.893537	6.150426	7.121075	5.877475	7.19229	7.523113	4.6504	7.103904	6.789084	"N-acetylated alpha-linked acidic dipeptidase 2"
"FBXO31"	9.813219	7.756395	7.411772	10.237859	7.949664	7.823158	8.9691	7.320096	7.513777	"F-box protein 31"
"TUBBP5"	5.409813	6.451962	6.630013	5.528259	3.987741	5.050452	5.438428	6.244087	5.936852	"tubulin beta pseudogene 5"
"GINS3"	7.078634	5.223748	4.375497	7.589732	6.159789	6.41701	7.273482	5.113108	6.347316	"GINS complex subunit 3"
"LDLRAP1"	10.246355	6.807165	7.339745	9.910274	7.964857	8.19241	9.426438	7.191932	8.201291	"low density lipoprotein receptor adaptor protein 1"
"LOC100505915"	8.767766	6.561479	6.091065	8.573457	6.572792	6.648016	8.366531	6.937194	7.417394	"uncharacterized LOC100505915"
