"epidermis__standard_1h"	"epidermis__140mM_1h"	"epidermis__140mM_3h"	"epidermis__140mM_8h"	"epidermis__140mM_20h"	"epidermis__140mM_32h"	"epidermis__140mM_48h"	"cortex__standard_1h"	"cortex__140mM_1h"	"cortex__140mM_3h"	"cortex__140mM_8h"	"cortex__140mM_20h"	"cortex__140mM_32h"	"cortex__140mM_48h"	"endodermis__standard_1h"	"endodermis__140mM_1h"	"endodermis__140mM_3h"	"endodermis__140mM_8h"	"endodermis__140mM_20h"	"endodermis__140mM_32h"	"endodermis__140mM_48h"	"stele__standard_1h"	"stele__140mM_1h"	"stele__140mM_3h"	"stele__140mM_8h"	"stele__140mM_20h"	"stele__140mM_32h"	"stele__140mM_48h"	"Annotation"
"FAD4..FADA"	4.333642	3.956218	4.136989	2.903757	1.745883	2.59541	3.508021	7.783333	7.060121	7.309863	6.770452	6.387761	6.66852	6.920737	7.787646	7.312915	7.318066	6.980845	7.035446	6.350145	6.341984	7.754531	6.586112	6.010907	4.553599	5.33606	5.630959	4.220282	"Encodes an unusual palmitate desaturase that is highly substrate specific. It introduces a delta-3 trans double bond at palmitate at the sn-2 position of phosphatidylglycerol., Encodes an unusual palmitate desaturase that is highly substrate specific. It introduces a delta-3 trans double bond at palmitate at the sn-2 position of phosphatidylglycerol."
"CBL7"	5.488417	6.798182	5.695898	5.736056	5.270871	2.415819	3.74725	5.546471	5.16335	5.286988	4.284985	4.641688	3.569113	1.812418	5.52581	5.730162	3.94277	4.942787	4.555217	3.817267	4.051288	5.511623	3.923762	4.669854	3.872073	4.016014	4.304774	5.120523	"Encodes calcineurin B-like protein 7 (CBL7)."
"XTH23..XTR6"	8.620596	7.13827	7.030886	7.602255	7.704502	7.898292	8.075912	10.537563	9.926793	10.375659	11.312311	11.204074	10.578878	10.843119	11.549566	11.838144	11.961867	12.993268	13.022416	11.850747	11.572602	11.210058	11.413967	11.102469	12.446474	12.04601	11.868805	11.866373	"xyloglucan endotransglycosylase-related protein (XTR6), xyloglucan endotransglycosylase-related protein (XTR6)"
"ATHSP23.6.MITO..HSP23.6.MITO"	6.282909	6.083277	6.266463	4.905153	8.219769	6.40841	8.783334	6.112745	7.928845	7.323108	8.982686	10.22162	9.272389	9.338999	7.06415	6.496108	7.835577	7.273092	9.184379	8.856369	8.292106	6.974604	8.152238	6.815393	6.490369	6.63673	8.179474	7.509118	"AtHSP23.6-mito mRNA, nuclear gene encoding mitochondrial, AtHSP23.6-mito mRNA, nuclear gene encoding mitochondrial"
"ATCBF3..CBF3..DREB1A"	5.776335	4.662563	5.41392	5.012353	4.890696	4.951132	5.123225	8.884523	9.277779	6.386743	6.10635	6.36679	6.050732	7.011621	9.15782	8.98763	6.56347	7.189809	6.879294	7.531671	6.510886	7.97948	7.532113	6.5291	6.431709	6.481204	6.800452	6.743715	"encodes a member of the DREB subfamily A-1 of ERF/AP2 transcription factor family (CBF3). The protein contains one AP2 domain. There are six members in this subfamily, including CBF1, CBF2, and CBF3. This gene is involved in response to low temperature and abscisic acid., encodes a member of the DREB subfamily A-1 of ERF/AP2 transcription factor family (CBF3). The protein contains one AP2 domain. There are six members in this subfamily, including CBF1, CBF2, and CBF3. This gene is involved in response to low temperature and abscisic acid., encodes a member of the DREB subfamily A-1 of ERF/AP2 transcription factor family (CBF3). The protein contains one AP2 domain. There are six members in this subfamily, including CBF1, CBF2, and CBF3. This gene is involved in response to low temperature and abscisic acid."
"ACP4"	4.365882	3.280294	3.0978	4.26762	5.183045	6.195515	6.471745	7.365475	7.403626	6.948734	7.404756	7.52372	7.884894	7.66202	6.804604	5.286838	6.669322	6.353527	7.389192	7.22153	7.153031	6.159652	6.032599	5.485874	6.463142	6.509182	6.514188	7.046601	"encodes an acyl carrier protein predominantly expressed in leaves. Gene expression is upregulated by light."
"TAR2"	6.159353	6.144884	5.274741	3.78611	5.270959	6.283491	5.346874	5.295834	3.072687	3.190135	2.349168	2.825898	3.472683	2.61556	6.532759	2.796402	2.419926	3.324786	4.400983	4.704688	2.687006	5.48001	3.839915	2.538501	3.917482	3.235421	3.553856	3.295141	"Encodes a protein with similarity to the TAA1 trytophan aminotransferase involved in IAA biosynthesis. Double mutant analyses suggest that this protein is involved in regulating many aspects of plant growth and development from embryogenesis to flower formation and plays a role in ethylene-mediated signaling."
"ATTLP1..TLP1"	3.933708	2.723577	3.742643	3.158246	2.122963	1.722389	2.556005	6.604891	4.657052	5.829159	4.661104	4.965341	3.652249	3.553607	7.205278	5.779365	2.952032	4.292302	5.5659	6.045486	5.352761	6.321886	6.090082	5.562885	6.41213	6.463602	6.604127	7.498529	"Root-specific expression activated in response to rhizobacteria and ACC. Role in induced systemic resistance., Root-specific expression activated in response to rhizobacteria and ACC. Role in induced systemic resistance."
"CORI3..JR2"	5.143182	5.344737	5.890926	4.772834	5.851363	5.362606	5.917055	2.86243	3.412258	4.661314	5.714101	5.022001	3.934574	5.564092	4.294328	3.851296	4.340493	4.205944	4.647375	5.105969	5.493012	5.061958	5.124542	2.001259	5.165413	3.262418	3.932038	3.602064	"Encodes cystine lyase which is expected to be involved in amino acid metabolism, providing the plant with cysteine and the generation of precursors of ethylene biosynthesis.  mRNA levels are elevated in response to wounding., Encodes cystine lyase which is expected to be involved in amino acid metabolism, providing the plant with cysteine and the generation of precursors of ethylene biosynthesis.  mRNA levels are elevated in response to wounding."
"SP1L5"	4.767987	4.596939	3.788274	4.094386	4.499669	5.00205	3.811015	5.916615	4.93298	5.189202	4.677263	5.290792	5.243534	4.025307	7.572969	5.595529	5.698722	5.44018	4.285275	5.553372	5.629402	6.373934	5.935029	6.07756	6.496107	5.644427	6.006672	5.947409	"Belongs to a six-member gene family in Arabidopsis; all members share high sequence similarity in amino- and carboxy-terminal regions. Regulates cortical microtubule organization. Mutant plants exhibit altered patterns of root, leaf and petal growth as a result of defective anisotropic cell expansion."
"CRK18"	4.990715	3.909782	2.316804	2.999626	3.59819	2.616479	3.452532	2.033254	3.238047	5.168237	5.642599	6.321855	3.618015	5.021976	3.168024	3.250072	2.702278	4.889494	4.305074	3.18192	3.452961	4.356752	2.748818	3.6447	2.951519	3.512122	2.704101	4.040411	"Encodes a cysteine-rich receptor-like protein kinase."
"TET5"	6.103372	4.733432	2.765246	3.600082	4.941828	4.233481	5.759352	7.11814	6.554474	6.138231	6.564506	6.277232	6.470759	6.35031	8.670854	7.803186	8.187448	6.989539	8.510442	8.852826	8.727217	7.672117	9.585129	9.195156	8.565913	8.731236	9.897833	9.852316	"Member of TETRASPANIN family"
"ACR7"	5.444624	3.126923	4.809562	3.841711	5.830695	6.035881	5.663765	7.299607	7.800805	7.779517	8.161244	8.279178	8.12059	8.545908	8.387734	8.104739	8.631906	8.954376	8.437134	7.981951	7.728773	8.3443	8.06097	8.264143	8.548394	8.096526	8.205537	8.550994	"Member of a family of ACT domain containing proteins . ACT domains are involved in amino acid binding ."
"APT3"	5.278555	4.847404	1.532826	1.872301	1.936429	3.399512	2.211879	7.901083	9.448745	7.262662	7.676587	7.697655	7.366449	7.756857	8.899474	8.426852	7.361132	7.615131	7.516536	7.832331	6.466062	7.99213	9.687165	8.767794	9.260714	8.789299	9.009783	9.156551	"Encodes an adenine phosphoribosyltransferase (APT; EC 2.4.2.7), which is a constitutively expressed enzyme involved in the one-step salvage of adenine to AMP. APT3 has higher affinity for zeatin, isopentenyladenine and benzyladenine than APT1 but lower Vmax than APT1."
"ENDO3"	5.387997	6.645625	6.165681	5.486778	5.746581	6.221615	5.73308	5.242607	5.118296	5.614911	5.098762	5.673936	5.956934	5.737929	2.813811	5.668304	5.429737	5.054902	3.76514	3.727951	5.387304	4.020041	4.301948	3.363483	3.054801	2.212965	3.022363	2.014666	"Encodes a putative endonuclease but no demonstrable endonuclease activity, either towards single stranded DNA or mismatches, has been seen in vitro. Activated by AGAMOUS in a cal-1, ap1-1 background. Expressed in the floral meristem and during stamen development."
"PSBQ..PSBQ.1..PSBQA"	4.874637	4.367516	4.106586	4.697926	5.171726	2.910553	5.005272	8.255592	8.642145	8.027216	8.458948	7.657536	7.430502	7.937288	6.885942	6.628375	5.63658	7.155567	6.704846	6.219876	6.759513	7.222383	7.204887	6.805162	7.110829	6.347004	6.895067	7.198802	"Encodes the PsbQ subunit of the oxygen evolving complex of photosystem II., Encodes the PsbQ subunit of the oxygen evolving complex of photosystem II., Encodes the PsbQ subunit of the oxygen evolving complex of photosystem II."
"CRK28"	5.334804	5.361352	6.386152	5.940207	5.597054	6.255487	6.486506	7.681017	7.315555	8.12909	8.324026	7.713893	7.752655	8.379494	8.474292	9.608214	9.952912	10.139065	10.106997	9.507245	9.558631	8.250374	8.627641	9.072605	9.197781	8.607864	8.411435	8.902867	"Encodes a cysteine-rich receptor-like protein kinase."
"CRK29"	7.664792	6.441056	6.023931	6.074868	5.456511	6.374407	6.111606	9.98639	9.369487	9.962153	8.892374	8.433292	8.345573	8.816524	10.522479	10.831249	10.83618	10.590015	10.528483	9.961001	10.194348	9.849195	9.783258	10.06361	9.386149	8.81547	8.878184	8.947927	"Encodes a cysteine-rich receptor-like protein kinase."
"ATM4..ATMYB102..MYB102"	5.524656	6.200277	5.088096	4.77094	5.298918	5.574595	5.561478	7.341618	9.387343	7.855412	8.377698	8.173372	7.152215	8.328257	5.768157	8.151766	7.249703	7.203908	6.200399	6.866599	6.77191	6.313047	8.118511	7.861552	7.271375	6.933575	7.297931	7.071643	"Encodes a MYB transcription factor involved in wounding and osmotic stress response. Member of the R2R3 factor gene family., Encodes a MYB transcription factor involved in wounding and osmotic stress response. Member of the R2R3 factor gene family., Encodes a MYB transcription factor involved in wounding and osmotic stress response. Member of the R2R3 factor gene family."
"ARK3..RK3"	2.842449	3.300563	2.219492	2.195251	3.178385	3.118482	2.707076	2.536805	3.066628	1.602937	4.705583	3.350138	2.563345	4.482494	4.858692	3.195142	5.167248	6.680328	4.843039	3.174112	4.830752	5.248205	4.696662	4.981459	5.191656	3.464752	4.098725	3.951299	"encodes a putative receptor-like serine/threonine protein kinases that is similar to Brassica self-incompatibility (S) locus. Expressed in root. Shoot expression limited to limited to the root-hypocotyl transition zone and at the base of lateral roots as well as in axillary buds, and pedicels., encodes a putative receptor-like serine/threonine protein kinases that is similar to Brassica self-incompatibility (S) locus. Expressed in root. Shoot expression limited to limited to the root-hypocotyl transition zone and at the base of lateral roots as well as in axillary buds, and pedicels."
"ATBRCA1..BRCA1"	4.762858	6.481913	6.379729	6.299092	6.649213	7.343675	6.678532	5.713741	5.926243	5.05615	6.330066	6.164102	6.759541	6.162254	4.307553	4.462334	5.039335	4.129277	6.17448	5.350006	5.584496	3.915997	5.182389	5.506651	6.016329	5.439365	5.371499	6.476471	"Encodes AtBRCA1, an ortholog of the human breast cancer susceptibility gene 1. Contains one N-terminal RING finger, two C-terminal BRCT and the p300/CBP interacting domain. Strongly induced by gamma rays, consistent with a putative role in DNA repair and in cell cycle control., Encodes AtBRCA1, an ortholog of the human breast cancer susceptibility gene 1. Contains one N-terminal RING finger, two C-terminal BRCT and the p300/CBP interacting domain. Strongly induced by gamma rays, consistent with a putative role in DNA repair and in cell cycle control."
"ATGA2OX8..GA2OX8"	6.48258	6.689031	2.994053	3.462207	5.810269	5.597632	5.701542	7.015529	6.534363	7.501533	7.669577	8.922587	8.813999	9.133834	6.691983	6.490228	6.196174	5.663301	7.329186	9.059544	8.464692	7.071421	6.033801	5.845975	3.94523	8.086652	7.75875	7.301495	"Encodes a protein with gibberellin 2-oxidase activity which acts specifically on C-20 gibberellins., Encodes a protein with gibberellin 2-oxidase activity which acts specifically on C-20 gibberellins."
"ATRP1..RP1"	3.693515	3.70455	2.157933	1.843621	2.762907	3.632735	2.303886	4.982391	4.363521	5.715175	5.88479	4.35148	5.441541	6.060878	4.627448	3.532683	4.224377	4.268932	4.091919	4.327614	4.317149	4.265452	4.836267	4.122955	1.738111	3.699205	4.386338	3.516723	"Encodes a PPDK regulatory protein that has both protein kinase and protein phosphatase activities towards PPDK (pyruvate orthophosphate dikinase)., Encodes a PPDK regulatory protein that has both protein kinase and protein phosphatase activities towards PPDK (pyruvate orthophosphate dikinase)."
"GSO1"	7.531606	7.139916	6.47495	6.04642	5.760241	5.923529	4.920376	11.186957	11.155308	10.921104	9.9843	9.043486	9.402096	9.604773	12.410364	13.58067	12.569882	13.013284	12.642523	11.919879	11.873828	11.291079	10.933998	10.547602	10.141554	9.955883	9.091754	9.362141	"Encodes GASSHO1 (GSO1), a putative leucine-rich repeat transmembrane-type receptor kinase.  GSO1 and a homolog GSO2 (At5g44700) are required for the formation of a normal epidermal surface during embryogenesis."
"BAM3"	4.4779	2.402263	4.398406	2.995076	2.708746	2.166243	2.734983	6.213358	5.870099	5.700531	3.144597	4.276447	4.710947	4.487319	7.788329	7.108761	6.209824	5.903938	4.115164	4.662238	4.568775	5.965097	7.087169	6.565061	6.639487	6.254863	6.122587	6.374542	"Encodes a CLAVATA1-related receptor kinase-like protein required for both shoot and flower meristem function.  It has a broad expression pattern and is involved in vascular strand development in the leaf, control of leaf shape, size and symmetry, male gametophyte development and ovule specification and function."
"ATIRT2..IRT2"	9.553668	7.759684	5.531211	5.974395	7.023398	7.750262	6.54643	8.954788	6.196314	7.422848	6.954158	8.757983	8.2328	7.81755	8.380103	6.747375	5.03904	5.649032	6.992038	6.944817	5.648042	10.380868	8.036214	6.516323	7.954352	10.18053	9.257775	8.248679	"encodes an iron transporter whose expression is induced by iron and zinc deficiency. Gene is specifically expressed in the external cell layers of the root subapical zone., encodes an iron transporter whose expression is induced by iron and zinc deficiency. Gene is specifically expressed in the external cell layers of the root subapical zone."
"ATIRT1..IRT1"	2.5361935	2.5508421	3.154256	2.6103989	3.1513912	5.2004819	2.7312131	4.5591541	3.1919011	2.3879159	4.2846169	6.4221633	4.711631	4.5586427	3.9510813	2.7871657	2.8217952	2.328873	4.0140886	3.3796549	0.9537515	4.2351821	3.6968167	2.9916882	3.6357806	6.6403766	6.5856028	5.2482482	"Fe(II) transport protein (IRT1), Fe(II) transport protein (IRT1)"
"ATPP2.A1..ATPP2A.1..PP2.A1"	5.362786	3.284413	3.902621	3.284742	3.535215	3.651196	3.516806	5.736382	5.562798	4.789658	4.873212	5.783525	5.815084	5.731293	7.709295	5.626195	5.39978	5.107152	6.047533	5.553596	5.784194	6.553553	7.658654	6.072009	6.806662	6.468445	6.495539	6.966652	"encodes a phloem lectin, similar to phloem lectin in cucumber and celery. Gene is expressed in the phloem, predominantly in the companion cells., encodes a phloem lectin, similar to phloem lectin in cucumber and celery. Gene is expressed in the phloem, predominantly in the companion cells., encodes a phloem lectin, similar to phloem lectin in cucumber and celery. Gene is expressed in the phloem, predominantly in the companion cells."
"ATCESA8..CESA8..IRX1..LEW2"	5.347681	4.270599	5.193064	4.331426	4.374742	5.129667	4.884776	7.623224	6.438411	7.451931	7.222088	7.148418	7.047475	6.770473	8.176723	7.864055	8.090581	7.502604	7.031122	8.124391	7.521227	9.084825	10.89207	10.851955	11.140325	10.231409	10.758551	10.607621	"Encodes a member of the cellulose synthase family involved in secondary cell wall biosynthesis. Mutants have abnormal xylem formation, reduced cellulose content, and enhanced drought and osmotic stress tolerance.  Mediates resistance towards bacterial pathogens via ABA. Confers resistance towards bacterial and fungal pathogens, independent of salicylic acid, ethylene and jasmonate signaling., Encodes a member of the cellulose synthase family involved in secondary cell wall biosynthesis. Mutants have abnormal xylem formation, reduced cellulose content, and enhanced drought and osmotic stress tolerance.  Mediates resistance towards bacterial pathogens via ABA. Confers resistance towards bacterial and fungal pathogens, independent of salicylic acid, ethylene and jasmonate signaling., Encodes a member of the cellulose synthase family involved in secondary cell wall biosynthesis. Mutants have abnormal xylem formation, reduced cellulose content, and enhanced drought and osmotic stress tolerance.  Mediates resistance towards bacterial pathogens via ABA. Confers resistance towards bacterial and fungal pathogens, independent of salicylic acid, ethylene and jasmonate signaling., Encodes a member of the cellulose synthase family involved in secondary cell wall biosynthesis. Mutants have abnormal xylem formation, reduced cellulose content, and enhanced drought and osmotic stress tolerance.  Mediates resistance towards bacterial pathogens via ABA. Confers resistance towards bacterial and fungal pathogens, independent of salicylic acid, ethylene and jasmonate signaling."
"CLE2"	6.273532	3.774856	3.834515	3.02798	3.70872	4.224396	4.076799	7.958399	5.672999	7.032424	5.805916	6.750554	6.344269	6.236408	9.577464	7.695966	6.68974	7.135778	8.340246	7.620304	7.228098	9.044845	8.3696	7.963543	8.231256	8.915862	8.541476	8.555343	"CLE2, putative ligand, member of large gene family homologous to Clavata3"
"ATWRKY28..WRKY28"	7.358364	7.162163	6.572919	6.330609	6.756767	6.747233	7.572922	6.616935	8.322377	8.560964	9.084166	8.78903	7.966309	8.61544	8.101589	9.330736	10.129327	10.637371	10.206765	9.837406	10.167545	7.794786	8.928893	10.275206	10.244369	8.913803	9.184684	9.788476	"member of WRKY Transcription Factor; Group II-c, member of WRKY Transcription Factor; Group II-c"
"ATNCED2..NCED2"	4.965209	1.125833	5.385039	4.395903	4.43231	5.254395	3.727272	5.010575	6.354655	6.934458	7.273707	6.399193	6.924778	6.283012	2.79438	3.661532	4.869472	4.688681	5.650045	3.687771	4.182658	4.749733	6.131084	5.687474	4.337398	5.428837	5.790857	6.207181	"Encodes 9-<i>cis</i>-epoxycarotenoid dioxygenase, a key enzyme in the biosynthesis of abscisic acid. The expression of this gene declines during the first 12h of imbibition., Encodes 9-<i>cis</i>-epoxycarotenoid dioxygenase, a key enzyme in the biosynthesis of abscisic acid. The expression of this gene declines during the first 12h of imbibition."
"ALMT12..ATALMT12..QUAC1"	5.897338	5.051443	6.679669	7.029192	5.998782	5.474775	5.445539	6.206618	6.102101	5.652237	6.051544	6.171865	4.165075	5.448814	5.837118	6.763386	6.953896	7.84296	7.797888	8.147299	7.767718	5.526906	5.025215	5.818715	7.144504	6.859966	6.862266	6.688053	"Anion transporter involved  in stomatal closure. Gene has 3 splicing variants., Anion transporter involved  in stomatal closure. Gene has 3 splicing variants., Anion transporter involved  in stomatal closure. Gene has 3 splicing variants."
"APRR2..PRR2"	4.78861	3.83702	3.116079	4.002783	5.163041	5.400225	5.05089	6.635326	7.050135	6.87951	6.846534	6.818562	6.878099	6.578342	5.943626	4.694103	6.376331	6.386184	6.132536	6.848746	7.094106	5.781865	6.277773	6.303735	6.668422	6.345606	5.454156	6.122858	"Encodes pseudo-response regulator 2 (APRR2) that interacts with a calcium sensor (CML9)., Encodes pseudo-response regulator 2 (APRR2) that interacts with a calcium sensor (CML9)."
"X5PTASE2..AT5PTASE2..IP5PII"	6.809129	6.051945	4.816325	2.614208	3.257453	4.58541	3.691766	9.444656	9.740202	9.002661	8.717489	8.59857	8.391756	9.289035	9.926881	10.11678	9.302332	8.976903	8.828818	8.231147	8.372068	8.904724	9.037566	8.864449	8.522798	7.767849	7.788136	8.46823	"Encodes an inositol polyphosphate 5-phosphatase that appears to have Type I activity. It can dephosphorylate IP3(inositol(1,4,5)P3) and IP4 (inositol(1,3,4,5)P4), but it does not appear to be active against phosphatidylinositol 4,5 bisphosphate. Overexpression of this gene renders plants insensitive to ABA in germination and growth assays., Encodes an inositol polyphosphate 5-phosphatase that appears to have Type I activity. It can dephosphorylate IP3(inositol(1,4,5)P3) and IP4 (inositol(1,3,4,5)P4), but it does not appear to be active against phosphatidylinositol 4,5 bisphosphate. Overexpression of this gene renders plants insensitive to ABA in germination and growth assays., Encodes an inositol polyphosphate 5-phosphatase that appears to have Type I activity. It can dephosphorylate IP3(inositol(1,4,5)P3) and IP4 (inositol(1,3,4,5)P4), but it does not appear to be active against phosphatidylinositol 4,5 bisphosphate. Overexpression of this gene renders plants insensitive to ABA in germination and growth assays."
"AtMYB79..MYB79"	4.03856	3.276204	4.404332	2.476707	3.268157	3.652798	1.933407	3.622198	4.222034	4.342847	1.545745	3.304546	4.448133	2.519737	4.846907	4.56925	4.355868	4.267509	4.004348	3.937725	4.500329	4.59929	6.4786	6.250654	4.734384	5.133377	4.498674	3.924111	"Member of the R2R3 factor gene family., Member of the R2R3 factor gene family."
"ATHAK5..HAK5"	6.093051	5.641521	6.012768	6.547078	6.791943	5.909482	5.938386	5.515561	5.231205	5.629622	7.280449	7.751695	5.971301	4.687366	4.411646	4.906955	5.416586	7.065303	6.46494	4.430931	4.822659	6.120931	6.17098	6.44508	7.595005	8.121427	6.707577	6.046103	"Encodes a protein of the KUP/HAK/KT potassium channel class that is upregulated in the roots by K levels., Encodes a protein of the KUP/HAK/KT potassium channel class that is upregulated in the roots by K levels."
"EDA21"	5.397054	4.676096	5.415605	4.964664	3.972033	4.955872	4.328319	6.290025	6.456623	7.550062	7.187177	6.174207	6.121316	6.167645	7.975715	7.002664	7.969396	7.704678	6.872849	6.32036	6.383032	7.823796	9.0908	9.706551	9.974511	7.322367	7.171173	8.080127	"Encodes a defensin-like (DEFL) family protein."
"PSAL"	4.439419	2.652684	3.99195	5.226631	4.738347	3.721732	5.113773	8.246659	9.058306	8.890219	9.006993	8.344404	7.928632	8.423311	5.91467	4.548453	3.603955	5.976919	6.424442	5.8103	6.291011	5.150286	6.2795	5.229531	6.409639	5.949049	6.836792	7.286738	"Encodes subunit L of photosystem I reaction center."
"EARLI1..pEARLI"	2.2470522	1.1591942	2.8864919	2.1848457	0.2450126	1.2621701	2.1151644	6.7726784	6.2524181	6.9808387	7.1017519	8.660699	7.7143553	8.7381444	1.2928742	2.3451014	1.3817941	1.3815985	3.7778547	2.85743	1.2167375	2.6278251	1.746179	5.0386118	4.6491458	5.2189524	5.2003724	6.2254124	"a putative lipid transfer protein, vernalization-responsive and cold-induced, a putative lipid transfer protein, vernalization-responsive and cold-induced"
"AZI1"	5.208985	4.444837	4.284836	4.011145	3.516807	3.92307	4.960902	7.727907	7.473132	8.516657	8.230709	8.297314	8.39611	9.235674	5.765522	4.724031	4.80821	5.893582	5.282575	5.713608	5.521799	6.766333	5.791684	7.050897	6.577671	6.131131	5.953037	6.831613	"Encodes AZI1 (AZELAIC ACID INDUCED 1).  Involved in the priming of salicylic acid induction and systemic immunity triggered by pathogen or azelaic acid."
"PGRL1B"	4.294226	1.923231	3.269604	2.732916	3.890713	3.899821	4.76855	6.906423	6.820984	7.279589	7.581633	7.586923	7.153905	8.15028	6.741225	6.619912	6.817559	6.688362	7.025646	6.855938	6.781619	6.611129	7.002552	7.765482	7.021777	6.577835	6.517285	7.489637	"Encodes PGRL1B, a transmembrane protein present in thylakoids.  PGRL1B has a highly homologous isoform PGRL1A encoded by At4g22890. Plants lacking PGRL1 show perturbation of cyclic electron flow, similar to PGR5-deficient plants. PGRL1 and PGR5 interact physically and associate with PSI (photosystem I)."
"ATOSM34..OSM34"	5.086423	2.979775	4.417888	5.883239	6.805565	7.459531	8.213867	5.736849	5.501283	5.609724	5.37818	9.404811	9.315702	10.492473	4.212727	4.505591	6.072968	5.051043	6.672295	7.02636	7.44143	4.82118	6.232345	5.029523	6.074267	7.765576	9.219704	9.701908	"osmotin-like protein, osmotin-like protein"
"CRK31"	5.579747	5.152695	4.441967	5.015819	4.628391	5.373297	6.134989	4.853718	3.89771	5.938599	6.685554	6.342561	6.0578	5.3118	4.526607	4.83412	7.845807	9.422211	7.496151	5.466701	5.77523	6.337613	6.270324	6.326752	7.656322	6.660956	6.354773	6.115297	"Encodes a cysteine-rich receptor-like protein kinase."
"CRK32"	2.4741619	0.7334903	2.0590177	0.7443589	2.7903681	1.8035052	3.0331499	1.0094316	1.115045	3.854699	3.6219931	2.40234	3.0401751	1.5599656	1.7195301	2.3488865	6.2058547	6.7529452	4.9682021	2.8864905	2.38344	3.6552835	1.6797936	1.2192789	5.3646047	3.5192444	3.4767413	4.1873559	"Encodes a cysteine-rich receptor-like protein kinase."
"ATOPT7..OPT7"	8.187119	7.010462	4.63904	6.056364	5.966992	5.730459	5.776163	7.857142	5.823225	7.128343	6.479331	6.563301	5.985046	6.631806	7.885241	6.144072	4.441753	3.88889	5.0749	5.859701	4.797326	8.268179	6.758666	5.358826	6.63937	7.725013	7.054257	6.182081	"oligopeptide transporter, oligopeptide transporter"
"LHCB5"	6.265223	5.537548	4.843129	5.243521	4.446746	5.277159	4.830174	10.330052	10.759998	10.969213	11.025469	10.27247	9.942955	10.013041	8.742939	7.515131	7.55529	9.306626	9.374796	8.262254	8.621429	8.336853	8.761537	8.216331	9.356365	8.608635	9.048384	9.669994	"photosystem II encoding the light-harvesting chlorophyll a/b binding protein CP26 of the antenna system of the photosynthetic apparatus"
"AGL11..STK"	3.667755	4.037704	3.381693	4.183035	2.443147	3.956141	2.420512	4.927835	4.58931	4.731346	5.322235	5.129299	5.174368	3.869751	5.230506	4.062344	4.889047	4.290001	2.015169	3.687081	4.085276	4.470644	4.101507	3.965834	3.051282	4.136117	3.295306	4.546892	"a MADS box transcription factor expressed in the carpel and ovules, a MADS box transcription factor expressed in the carpel and ovules"
"ATSPS4F"	3.196803	1.33906	2.728855	2.92499	2.20347	3.616322	4.314022	5.409882	4.501437	4.844323	3.243295	4.11009	5.105199	2.569024	5.74576	4.138105	6.163703	4.851898	5.297904	4.216629	3.453511	5.273719	4.970955	5.233749	5.42384	3.029515	4.953922	4.361943	"Encodes a protein with putative sucrose-phosphate synthase activity."
"ANAC070..BRN2..NAC070"	10.446985	10.572424	10.124195	9.805176	8.704108	8.989081	8.870269	8.142023	7.313174	7.911038	7.664809	7.484099	7.484887	6.705558	7.525356	6.343597	6.504585	6.830977	6.261777	6.052421	2.787932	7.246142	8.023618	6.607557	7.412675	7.293508	6.943372	6.378486	"NAC domain protein. SMB, BRN1, and BRN2  act to regulate root cap maturation, in a partially redundant fashion.BRN1 and BRN2, control the cell wall maturation processes that are required to detach root cap layers from the root., NAC domain protein. SMB, BRN1, and BRN2  act to regulate root cap maturation, in a partially redundant fashion.BRN1 and BRN2, control the cell wall maturation processes that are required to detach root cap layers from the root., NAC domain protein. SMB, BRN1, and BRN2  act to regulate root cap maturation, in a partially redundant fashion.BRN1 and BRN2, control the cell wall maturation processes that are required to detach root cap layers from the root."
"GASA3"	3.1420644	1.1028062	1.8201347	2.6473674	1.2597898	2.2425116	0.6940948	0.6325285	4.8686766	5.4989075	4.9849917	4.0522143	3.1026458	3.9474989	2.410591	5.3059624	6.464574	5.0390607	6.1209779	5.3122895	3.0164821	2.6739367	8.4877434	7.6241103	6.1422506	6.3672983	5.794379	5.6686818	"One of GASA gene family which is related to a GA-stimulated transcript (GAST) from tomato."
"RH39"	5.083925	6.334154	7.197395	6.780838	6.967844	7.724695	7.360619	5.377459	5.581692	5.928606	6.250702	6.711209	6.988213	6.222191	4.290871	3.266115	5.610073	6.101115	6.484712	6.325619	6.185099	4.0946	5.262811	5.873706	6.038584	5.457846	6.184653	6.127	"Encodes RH39, a DEAD-box protein involved in the introduction of the hidden break into the 23S rRNA in the chloroplasts. Recombinant RH39 binds to the 23S rRNA in a segment adjacent to the stem-loop creating the hidden break target loop in a sequence-dependent manner. Has ATP-hydrolyzing activity at a Kcat of 5.3 /min in the presence of rRNA sequence. Mutants have drastically reduced level of level of ribulose 1,5-bisphosphate carboxylase/oxygenase."
"APRL6..ATAPRL6"	8.442253	7.01557	6.081487	4.737269	6.371696	4.399943	4.566721	8.847538	6.790371	8.000418	7.215789	7.45106	7.563356	7.657036	8.874947	8.038221	8.020173	8.179317	7.715552	7.703548	7.77856	9.752772	7.512435	7.695178	7.666745	7.924069	7.538893	7.43803	"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily.  This protein also belongs to the adenosine 5'-phosphosulfate reductase-like (APRL) group., Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily.  This protein also belongs to the adenosine 5'-phosphosulfate reductase-like (APRL) group."
