"feature"	"ontology"	"SVG"	"description"
"255"	"colon"	"UBERON_0001155"	"mus_musculus.female.svg"	"Last portion of the large intestine before it becomes the rectum."
"256"	"small.intestine"	"UBERON_0002108"	"mus_musculus.female.svg"	"Subdivision of digestive tract that connects the stomach to the large intestine and is where much of the digestion and absorption of food takes place (with the exception of ruminants). The mammalian small intestine is long and coiled and can be differentiated histologically into: duodenum, jejunem, ileum[WP,cjm,Kardong]."
"257"	"caecum"	"UBERON_0001153"	"mus_musculus.female.svg"	"A pouch in the digestive tract that connects the ileum with the ascending colon of the large intestine. It is separated from the ileum by the ileocecal valve, and is the beginning of the large intestine. It is also separated from the colon by the cecocolic junction."
"258"	"jejunum"	"UBERON_0002115"	"mus_musculus.female.svg"	"the portion of the small intestine that extends from the duodenum to the ileum"
"259"	"ileum"	"UBERON_0002116"	"mus_musculus.female.svg"	"the portion of the small intestine that extends from the jejunum to the colon"
"260"	"esophagus"	"UBERON_0001043"	"mus_musculus.female.svg"	"Tube that connects the pharynx to the stomach. In mammals, the oesophagus connects the buccal cavity with the stomach. The stratified squamous non-keratinised epithelium lining the buccal cavity is continued through the pharynx down into the oesophagus. The lowest part of the oesophagus (ca. 2 cm) is lined with gastric mucosa and covered by peritoneum. The main body of the oesophagus is lined with small, simple mucous glands. Each gland opens into the lumen by a long duct which pierces the muscularis mucosae (Wilson and Washington, 1989). A sphincter is situated at the point where the oesophagus enters the stomach to prevent gastro-oesophageal reflux, i.e. to prevent acidic gastric contents from reaching stratified epithelia of the oesophagus, where they can cause inflammation and irritation (Wilson and Washington, 1989; Brown et al., 1993)."
"261"	"gall.bladder"	"UBERON_0002110"	"mus_musculus.female.svg"	"An organ that aids digestion and stores bile produced by the liver[WP]."
"262"	"mammary.gland"	"UBERON_0001911"	"mus_musculus.female.svg"	"A specialized accessory gland of the skin of mammals that secretes milk. The gland is typically only developed in females, and regresses in males."
"263"	"vagina"	"UBERON_0000996"	"mus_musculus.female.svg"	"A fibromuscular tubular tract leading from the uterus to the exterior of the body in female placental mammals and marsupials, or to the cloaca in female birds, monotremes, and some reptiles[WP]."
"264"	"uterus"	"UBERON_0000995"	"mus_musculus.female.svg"	"the female muscular organ of gestation in which the developing embryo or fetus is nourished until birth"
"265"	"ovary"	"UBERON_0003134"	"mus_musculus.female.svg"	"A female organ involved in reproduction"
"266"	"reproductive.system"	"UBERON_0000990"	"mus_musculus.female.svg"	"Anatomical system that has as its parts the organs concerned with reproduction."
"267"	"urinary.bladder"	"UBERON_0001255"	"mus_musculus.female.svg"	"distensible musculomembranous organ situated in the anterior part of the pelvic cavity in which urine collects before excretion[MP]."
"268"	"lymph.node"	"UBERON_0000029"	"mus_musculus.female.svg"	"Any of the rounded masses of lymphoid tissue that are surrounded by a capsule of connective tissue, are distributed along the lymphatic vessels, and contain numerous lymphocytes which filter the flow of lymph."
"269"	"parathyroid.gland"	"UBERON_0001132"	"mus_musculus.female.svg"	"The parathyroid gland is an endocrine gland for secretion of parathyroid hormone, usually found as a pair, embedded in the connective tissue capsule on the posterior surface of the thyroid gland. Parathyroid regulates calcium and phosphorous metabolism."
"270"	"parotid.gland"	"UBERON_0001831"	"mus_musculus.female.svg"	"The parotid gland is the largest of the salivary glands. It is found wrapped around the mandibular ramus, and it secretes saliva through Stensen's duct into the oral cavity, to facilitate mastication and swallowing. [WP,unvetted]."
"271"	"submandibular.gland"	"UBERON_0001736"	"mus_musculus.female.svg"	"Either of the paired compound tubuloalveolar (aka tubuloacinar) major salivary glands composed of both serous and mucous secretory cells and situated beneath the mandible."
"272"	"tongue"	"UBERON_0001723"	"mus_musculus.female.svg"	"A muscular organ in the floor of the mouth."
"273"	"Peyer.s.patch"	"UBERON_0001211"	"mus_musculus.female.svg"	"the protruding lymphoid tissue located on the mucosa of the intestine that is composed of densely packed B cell follicles"
"274"	"thymus"	"UBERON_0002370"	"mus_musculus.female.svg"	"Anatomical structure of largely lymphoid tissue that functions in cell-mediated immunity by being the site where T cells develop."
"275"	"thyroid.gland"	"UBERON_0002046"	"mus_musculus.female.svg"	"A two-lobed endocrine gland found in all vertebrates, located in front of and on either side of the trachea in humans, and producing various hormones, such as triiodothyronine and calcitonin[BTO]."
"276"	"femur"	"UBERON_0000981"	"mus_musculus.female.svg"	"Endochondral longbone connecting the pelvic girdle with posterior zeugopodium skeleton.[VSAO, modified]."
"277"	"bone.marrow"	"UBERON_0002371"	"mus_musculus.female.svg"	"the soft tissue that fills the cavities of bones"
"278"	"cartilage"	"UBERON_0007844"	"mus_musculus.female.svg"	"Skeletal element that is composed of cartilage tissue and may be permanent or transient."
"279"	"quadriceps.femoris"	"UBERON_0001377"	"mus_musculus.female.svg"	"One of the muscles belong to the group consisting of the rectus femoris and the three heads of the vastus (lateralis, medialis, intermedius)."
"280"	"skeletal.muscle"	"UBERON_0014892"	"mus_musculus.female.svg"	"A muscle organ that consists of skeletal muscle tissue ensheathed in epimysium, that develops from myotome and that is innervated by some somatic motor neuron. Skeletal muscles are typically attached (via a tendon) to a bone but there are exceptions (e.g. intrinsic tongue muscles)."
"281"	"spinal.cord"	"UBERON_0002240"	"mus_musculus.female.svg"	"Part of the central nervous system located in the vertebral canal continuous with and caudal to the brain; demarcated from brain by plane of foramen magnum. It is composed of an inner core of gray matter in which nerve cells predominate, and an outer layer of white matter in which myelinated nerve fibers predominate, and surrounds the central canal. (CUMBO)"
"282"	"diaphragm"	"UBERON_0001103"	"mus_musculus.female.svg"	"A thin musculomebranous barrier that separates the abdominal and thoracic cavities. Often used for breathing control"
"283"	"lung"	"UBERON_0002048"	"mus_musculus.female.svg"	"Respiration organ that develops as an oupocketing of the esophagus."
"284"	"peripheral.nervous.system"	"UBERON_0000010"	"mus_musculus.female.svg"	"A major division of the nervous system that contains nerves which connect the central nervous system (CNS) with sensory organs, other organs, muscles, blood vessels and glands."
"285"	"trachea"	"UBERON_0003126"	"mus_musculus.female.svg"	"The trachea is the portion of the airway that attaches to the bronchi as it branches [GO:dph]."
"286"	"hindlimb"	"UBERON_0002103"	"mus_musculus.female.svg"	"A (free) limb that is connected to a pelvic girdle region. The extent of this structure includes autopod, stylopod and zeugopod regions when present, but excludes the pelvic girdle and its parts."
"287"	"trigeminal.nerve"	"UBERON_0001645"	"mus_musculus.female.svg"	"Cranial nerve that has three branches - the ophthalmic (supplying the skin of the nose and upper jaw), the maxillary and the mandibular (supplying the lower jaw)."
"288"	"eye"	"UBERON_0000970"	"mus_musculus.female.svg"	"An organ that detects light."
"289"	"intestinal.mucosa"	"UBERON_0001242"	"mus_musculus.female.svg"	"Mucosal layer that lines the intestine."
"290"	"brain"	"UBERON_0000955"	"mus_musculus.female.svg"	"The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell[WP]."
"291"	"heart"	"UBERON_0000948"	"mus_musculus.female.svg"	"A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ."
"292"	"liver"	"UBERON_0002107"	"mus_musculus.female.svg"	"An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes[GO]."
"293"	"sciatic.nerve"	"UBERON_0001322"	"mus_musculus.female.svg"	"A large nerve that supplies nearly the whole of the skin of the leg, the muscles of the back of the thigh, and those of the leg and foot. It begins in the lower back and runs through the buttock and down the lower limb."
"294"	"aorta"	"UBERON_0000947"	"mus_musculus.male.svg"	"The main trunk of the systemic arterial system that carries blood from the heart to all the organs and other structures of the body, bringing oxygenated blood to all parts of the body in the systemic circulation"
"295"	"circulatory.system"	"UBERON_0001009"	"mus_musculus.male.svg"	"organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis[WP]."
"296"	"blood.vessel"	"UBERON_0001981"	"mus_musculus.male.svg"	"A vessel through which blood circulates in the body."
"297"	"brown.adipose.tissue"	"UBERON_0001348"	"mus_musculus.male.svg"	"A thermogenic form of adipose tissue that is composed of brown adipocytes[MP,modified]"
"298"	"white.adipose.tissue"	"UBERON_0001347"	"mus_musculus.male.svg"	"Connective tissue consisting of fat-storing cells and arranged in lobular groups or along minor blood vessels[MP,modified]"
"299"	"skin"	"UBERON_0000014"	"mus_musculus.male.svg"	"Any portion of the organ that covers that body and consists of a layer of epidermis and a layer of dermis."
"300"	"stomach"	"UBERON_0000945"	"mus_musculus.male.svg"	"An expanded region of the vertebrate alimentary tract that serves as a food storage compartment and digestive organ. A stomach is lined, in whole or in part by a glandular epithelium."
"301"	"duodenum"	"UBERON_0002114"	"mus_musculus.male.svg"	"The first part of the small intestine. At the junction of the stomach and the duodenum the alimentary canal is inflected. The duodenum first goes anteriorly for a short distance, turns dorsally, and eventually caudally, thus it is a U-shaped structure with two horizontal sections (a ventral and a dorsal one)."
"302"	"pancreas"	"UBERON_0001264"	"mus_musculus.male.svg"	"An endoderm derived structure that produces precursors of digestive enzymes and blood glucose regulating enzymes[GO]."
"303"	"adrenal.gland"	"UBERON_0002369"	"mus_musculus.male.svg"	"Either of a pair of complex endocrine organs near the anterior medial border of the kidney consisting of a mesodermal cortex that produces glucocorticoid, mineralocorticoid, and androgenic hormones and an ectodermal medulla that produces epinephrine and norepinephrine[BTO]."
"304"	"colon"	"UBERON_0001155"	"mus_musculus.male.svg"	"Last portion of the large intestine before it becomes the rectum."
"305"	"small.intestine"	"UBERON_0002108"	"mus_musculus.male.svg"	"Subdivision of digestive tract that connects the stomach to the large intestine and is where much of the digestion and absorption of food takes place (with the exception of ruminants). The mammalian small intestine is long and coiled and can be differentiated histologically into: duodenum, jejunem, ileum[WP,cjm,Kardong]."
"306"	"caecum"	"UBERON_0001153"	"mus_musculus.male.svg"	"A pouch in the digestive tract that connects the ileum with the ascending colon of the large intestine. It is separated from the ileum by the ileocecal valve, and is the beginning of the large intestine. It is also separated from the colon by the cecocolic junction."
"307"	"jejunum"	"UBERON_0002115"	"mus_musculus.male.svg"	"the portion of the small intestine that extends from the duodenum to the ileum"
"308"	"ileum"	"UBERON_0002116"	"mus_musculus.male.svg"	"the portion of the small intestine that extends from the jejunum to the colon"
"309"	"esophagus"	"UBERON_0001043"	"mus_musculus.male.svg"	"Tube that connects the pharynx to the stomach. In mammals, the oesophagus connects the buccal cavity with the stomach. The stratified squamous non-keratinised epithelium lining the buccal cavity is continued through the pharynx down into the oesophagus. The lowest part of the oesophagus (ca. 2 cm) is lined with gastric mucosa and covered by peritoneum. The main body of the oesophagus is lined with small, simple mucous glands. Each gland opens into the lumen by a long duct which pierces the muscularis mucosae (Wilson and Washington, 1989). A sphincter is situated at the point where the oesophagus enters the stomach to prevent gastro-oesophageal reflux, i.e. to prevent acidic gastric contents from reaching stratified epithelia of the oesophagus, where they can cause inflammation and irritation (Wilson and Washington, 1989; Brown et al., 1993)."
"310"	"gall.bladder"	"UBERON_0002110"	"mus_musculus.male.svg"	"An organ that aids digestion and stores bile produced by the liver[WP]."
"311"	"parotid.gland"	"UBERON_0001831"	"mus_musculus.male.svg"	"The parotid gland is the largest of the salivary glands. It is found wrapped around the mandibular ramus, and it secretes saliva through Stensen's duct into the oral cavity, to facilitate mastication and swallowing. [WP,unvetted]."
"312"	"submandibular.gland"	"UBERON_0001736"	"mus_musculus.male.svg"	"Either of the paired compound tubuloalveolar (aka tubuloacinar) major salivary glands composed of both serous and mucous secretory cells and situated beneath the mandible."
"313"	"lymph.node"	"UBERON_0000029"	"mus_musculus.male.svg"	"Any of the rounded masses of lymphoid tissue that are surrounded by a capsule of connective tissue, are distributed along the lymphatic vessels, and contain numerous lymphocytes which filter the flow of lymph."
"314"	"parathyroid.gland"	"UBERON_0001132"	"mus_musculus.male.svg"	"The parathyroid gland is an endocrine gland for secretion of parathyroid hormone, usually found as a pair, embedded in the connective tissue capsule on the posterior surface of the thyroid gland. Parathyroid regulates calcium and phosphorous metabolism."
"315"	"tongue"	"UBERON_0001723"	"mus_musculus.male.svg"	"A muscular organ in the floor of the mouth."
"316"	"prostate.gland"	"UBERON_0002367"	"mus_musculus.male.svg"	"The prostate gland is a partly muscular, partly glandular body that is situated near the base of the mammalian male urethra and secretes an alkaline viscid fluid which is a major constituent of the ejaculatory fluid."
"317"	"vas.deferens"	"UBERON_0001000"	"mus_musculus.male.svg"	"A secretory duct that transports sperm from the testis. In mammals this is a continuation of the epididymis and ends in the prostatic urethra where it terminates to form ejaculatory duct"
"318"	"epididymis"	"UBERON_0001301"	"mus_musculus.male.svg"	"the elongated structure connected to the posterior surface of the testis that transports, stores, and matures spermatozoa between testis and vas deferens"
"319"	"testis"	"UBERON_0000473"	"mus_musculus.male.svg"	"A gonad of a male animal. A gonad produces and releases sperm."
"320"	"seminal.vesicle"	"UBERON_0000998"	"mus_musculus.male.svg"	"Either of a pair of glandular pouches that lie one on either side of the male reproductive tract posterolateral to the urinary bladder and in the human male secrete a sugar- and protein-containing fluid into the ejaculatory duct."
"321"	"penis"	"UBERON_0000989"	"mus_musculus.male.svg"	"A intromittent organ in certain biologically male organisms. In placental mammals, this also serves as the organ of urination"
"322"	"urinary.bladder"	"UBERON_0001255"	"mus_musculus.male.svg"	"distensible musculomembranous organ situated in the anterior part of the pelvic cavity in which urine collects before excretion[MP]."
"323"	"thymus"	"UBERON_0002370"	"mus_musculus.male.svg"	"Anatomical structure of largely lymphoid tissue that functions in cell-mediated immunity by being the site where T cells develop."
"324"	"femur"	"UBERON_0000981"	"mus_musculus.male.svg"	"Endochondral longbone connecting the pelvic girdle with posterior zeugopodium skeleton.[VSAO, modified]."
"325"	"bone.marrow"	"UBERON_0002371"	"mus_musculus.male.svg"	"the soft tissue that fills the cavities of bones"
"326"	"cartilage"	"UBERON_0007844"	"mus_musculus.male.svg"	"Skeletal element that is composed of cartilage tissue and may be permanent or transient."
"327"	"quadriceps.femoris"	"UBERON_0001377"	"mus_musculus.male.svg"	"One of the muscles belong to the group consisting of the rectus femoris and the three heads of the vastus (lateralis, medialis, intermedius)."
"328"	"spinal.cord"	"UBERON_0002240"	"mus_musculus.male.svg"	"Part of the central nervous system located in the vertebral canal continuous with and caudal to the brain; demarcated from brain by plane of foramen magnum. It is composed of an inner core of gray matter in which nerve cells predominate, and an outer layer of white matter in which myelinated nerve fibers predominate, and surrounds the central canal. (CUMBO)"
"329"	"lung"	"UBERON_0002048"	"mus_musculus.male.svg"	"Respiration organ that develops as an oupocketing of the esophagus."
"330"	"diaphragm"	"UBERON_0001103"	"mus_musculus.male.svg"	"A thin musculomebranous barrier that separates the abdominal and thoracic cavities. Often used for breathing control"
"331"	"trachea"	"UBERON_0003126"	"mus_musculus.male.svg"	"The trachea is the portion of the airway that attaches to the bronchi as it branches [GO:dph]."
"332"	"hindlimb"	"UBERON_0002103"	"mus_musculus.male.svg"	"A (free) limb that is connected to a pelvic girdle region. The extent of this structure includes autopod, stylopod and zeugopod regions when present, but excludes the pelvic girdle and its parts."
"333"	"trigeminal.nerve"	"UBERON_0001645"	"mus_musculus.male.svg"	"Cranial nerve that has three branches - the ophthalmic (supplying the skin of the nose and upper jaw), the maxillary and the mandibular (supplying the lower jaw)."
"334"	"eye"	"UBERON_0000970"	"mus_musculus.male.svg"	"An organ that detects light."
"335"	"sciatic.nerve"	"UBERON_0001322"	"mus_musculus.male.svg"	"A large nerve that supplies nearly the whole of the skin of the leg, the muscles of the back of the thigh, and those of the leg and foot. It begins in the lower back and runs through the buttock and down the lower limb."
"336"	"intestinal.mucosa"	"UBERON_0001242"	"mus_musculus.male.svg"	"Mucosal layer that lines the intestine."
"337"	"kidney"	"UBERON_0002113"	"mus_musculus.male.svg"	"A paired organ of the urinary tract which has the production of urine as its primary function."
"338"	"liver"	"UBERON_0002107"	"mus_musculus.male.svg"	"An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes[GO]."
"339"	"spleen"	"UBERON_0002106"	"mus_musculus.male.svg"	"the organ that functions to filter blood and to store red corpuscles and platelets"
"340"	"heart"	"UBERON_0000948"	"mus_musculus.male.svg"	"A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ."
"341"	"brain"	"UBERON_0000955"	"mus_musculus.male.svg"	"The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell[WP]."
"342"	"skeletal.muscle"	"UBERON_0014892"	"mus_musculus.male.svg"	"A muscle organ that consists of skeletal muscle tissue ensheathed in epimysium, that develops from myotome and that is innervated by some somatic motor neuron. Skeletal muscles are typically attached (via a tendon) to a bone but there are exceptions (e.g. intrinsic tongue muscles)."
"343"	"seed"	"PO_0009010"	"oryza_sativa.flower_parts.svg"	"A multi-tissue plant structure (PO:0025496) that develops from a plant ovule (PO:0020003) and has as parts a plant embryo (PO:0009009) enclosed in a seed coat (PO:0009088)."
"344"	"anther"	"PO_0009066"	"oryza_sativa.flower_parts.svg"	"A collective plant organ structure (PO:0025007) that is the pollen-bearing part of a stamen (PO:0009029)."
"345"	"plant.embryo"	"PO_0009009"	"oryza_sativa.flower_parts.svg"	"A whole plant (PO:0000003) that participates in the plant embryo stage (PO:0007631)."
"346"	"endosperm"	"PO_0009089"	"oryza_sativa.flower_parts.svg"	"A portion of plant tissue (PO:0009007) which is a maximal portion of nutritive plant tissue in a seed (PO:0009010)."
"347"	"carpel"	"PO_0009030"	"oryza_sativa.flower_parts.svg"	"A megasporophyll, almost always at the center of a flower, its margins more or less fused together or with other carpels to enclose the ovule(s)."
"348"	"leaf"	"PO_0025034"	"oryza_sativa.whole_plant.svg"	"A phyllome (PO:0006001) that is not associated with a reproductive structure."
"349"	"plant.callus"	"PO_0005052"	"oryza_sativa.whole_plant.svg"	"A portion of plant tissue (PO:0009007) that consists of mass of undifferentiated plant cells (PO:0009002)."
"350"	"root"	"PO_0009005"	"oryza_sativa.whole_plant.svg"	"A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately."
"351"	"inflorescence"	"PO_0009049"	"oryza_sativa.whole_plant.svg"	"A reproductive shoot system (PO:0025082) that has as parts all of the shoot axes (PO:0025029) and flowers (PO:0009046; must have two or more) distal to the most distal leaf (PO:0009025)."
"352"	"shoot"	"PO_0009006"	"oryza_sativa.whole_plant.svg"	"A collective plant organ structure (PO:0025007) that produces shoot-borne portions of meristem tissue (PO:0009013) and the plant structures (PO:0009011) that arise from them."
"353"	"heart"	"UBERON_0000948"	"papio_anubis.svg"	"A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ."
"354"	"liver"	"UBERON_0002107"	"papio_anubis.svg"	"An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes[GO]."
"355"	"stomach"	"UBERON_0000945"	"papio_anubis.svg"	"An expanded region of the vertebrate alimentary tract that serves as a food storage compartment and digestive organ. A stomach is lined, in whole or in part by a glandular epithelium."
"356"	"colon"	"UBERON_0001155"	"papio_anubis.svg"	"Last portion of the large intestine before it becomes the rectum."
"357"	"lung"	"UBERON_0002048"	"papio_anubis.svg"	"Respiration organ that develops as an oupocketing of the esophagus."
"358"	"bone.marrow"	"UBERON_0002371"	"papio_anubis.svg"	"the soft tissue that fills the cavities of bones"
"359"	"kidney"	"UBERON_0002113"	"papio_anubis.svg"	"A paired organ of the urinary tract which has the production of urine as its primary function."
"360"	"spleen"	"UBERON_0002106"	"papio_anubis.svg"	"the organ that functions to filter blood and to store red corpuscles and platelets"
"361"	"skeletal.muscle"	"UBERON_0014892"	"papio_anubis.svg"	"A muscle organ that consists of skeletal muscle tissue ensheathed in epimysium, that develops from myotome and that is innervated by some somatic motor neuron. Skeletal muscles are typically attached (via a tendon) to a bone but there are exceptions (e.g. intrinsic tongue muscles)."
"362"	"lymph.node"	"UBERON_0000029"	"papio_anubis.svg"	"Any of the rounded masses of lymphoid tissue that are surrounded by a capsule of connective tissue, are distributed along the lymphatic vessels, and contain numerous lymphocytes which filter the flow of lymph."
"363"	"thymus"	"UBERON_0002370"	"papio_anubis.svg"	"Anatomical structure of largely lymphoid tissue that functions in cell-mediated immunity by being the site where T cells develop."
"364"	"brain"	"UBERON_0000955"	"papio_anubis.svg"	"The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell[WP]."
"365"	"cerebellum"	"UBERON_0002037"	"papio_anubis.svg"	"Part of the metencephalon that lies in the posterior cranial fossa behind the brain stem. It is concerned with the coordination of movement[MESH]. A large dorsally projecting part of the brain concerned especially with the coordination of muscles and the maintenance of bodily equilibrium, situated between the brain stem and the back of the cerebrum , and formed in humans of two lateral lobes and a median lobe[BTO]. Brain structure derived from the anterior hindbrain, and perhaps including posterior midbrain. The cerebellum plays a role in somatic motor function, the control of muscle tone, and balance[ZFA]."
"366"	"temporal.lobe"	"UBERON_0001871"	"papio_anubis.svg"	"Lower lateral part of the cerebral hemisphere. (MSH)"
"367"	"frontal.cortex"	"UBERON_0001870"	"papio_anubis.svg"	"Anterior portion of the neocortex, lying anterior to the central sulcus in humans. It is bounded by the parietal cortex posteriorly and the temporal cortex laterally[NIFSTD,modified]."
"368"	"pituitary.gland"	"UBERON_0000007"	"papio_anubis.svg"	"The pituitary gland is an endocrine gland that secretes hormones that regulate many other glands [GO]. An endocrine gland located ventral to the diencephalon and derived from mixed neuroectodermal and non neuroectodermal origin [ZFIN]."
"369"	"brain"	"UBERON_0000955"	"rattus_norvegicus.svg"	"The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell[WP]."
"370"	"kidney"	"UBERON_0002113"	"rattus_norvegicus.svg"	"A paired organ of the urinary tract which has the production of urine as its primary function."
"371"	"adrenal.medulla.chromaffin.cell"	"CL_0000336"	"rattus_norvegicus.svg"	"A cell found within the adrenal medulla that secrete biogenic amine hormones upon stimulation."
"372"	"gastrocnemius"	"UBERON_0001388"	"rattus_norvegicus.svg"	"The most superficial muscle of the triceps surae group, in the posterior portion of the lower hindleg."
"373"	"heart"	"UBERON_0000948"	"rattus_norvegicus.svg"	"A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ."
"374"	"liver"	"UBERON_0002107"	"rattus_norvegicus.svg"	"An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes[GO]."
"375"	"lung"	"UBERON_0002048"	"rattus_norvegicus.svg"	"Respiration organ that develops as an oupocketing of the esophagus."
"376"	"spleen"	"UBERON_0002106"	"rattus_norvegicus.svg"	"the organ that functions to filter blood and to store red corpuscles and platelets"
"377"	"thymus"	"UBERON_0002370"	"rattus_norvegicus.svg"	"Anatomical structure of largely lymphoid tissue that functions in cell-mediated immunity by being the site where T cells develop."
"378"	"uterus"	"UBERON_0000995"	"rattus_norvegicus.svg"	"the female muscular organ of gestation in which the developing embryo or fetus is nourished until birth"
"379"	"testis"	"UBERON_0000473"	"rattus_norvegicus.svg"	"A gonad of a male animal. A gonad produces and releases sperm."
"380"	"colon"	"UBERON_0001155"	"rattus_norvegicus.svg"	"Last portion of the large intestine before it becomes the rectum."
"381"	"pericarp"	"PO_0009084"	"solanum_lycopersicum.flower_parts.svg"	"A portion of plant tissue (PO:0009007) that is the outer layer (wall) of a fruit (PO:0009001), and develops from a plant ovary (PO:0009072) or a carpel (PO:0009030) wall."
"382"	"seed"	"PO_0009010"	"solanum_lycopersicum.flower_parts.svg"	"A multi-tissue plant structure (PO:0025496) that develops from a plant ovule (PO:0020003) and has as parts a plant embryo (PO:0009009) enclosed in a seed coat (PO:0009088)."
"383"	"pistil"	"PO_0009030"	"solanum_lycopersicum.flower_parts.svg"	"A megasporophyll, almost always at the center of a flower, its margins more or less fused together or with other carpels to enclose the ovule(s)."
"384"	"plant.ovary"	"PO_0009072"	"solanum_lycopersicum.flower_parts.svg"	"A plant structure (PO:0009011) that is the basal portion of a carpel (PO:0009030) or group of fused carpels (gynoecium; PO:0009062) and encloses the plant ovule(s) (PO:0020003)."
"385"	"title4434"	"PO_0009073"	"solanum_lycopersicum.flower_parts.svg"	"A cardinal organ part (PO:0025001), usually apical, that is part of a carpel (PO:0009030) or group of fused carpels on which the pollen (PO:0025281) germinates."
"386"	"style"	"PO_0009074"	"solanum_lycopersicum.flower_parts.svg"	"A cardinal organ part (PO:0025001) which is an elongated part of a carpel (PO:0009030) or gynoecium (PO:0009062) between the plant ovary (PO:0009072) and the stigma (PO:0009073), and through which the pollen tube (GO:0090406) grows."
"387"	"anther"	"PO_0009066"	"solanum_lycopersicum.flower_parts.svg"	"A collective plant organ structure (PO:0025007) that is the pollen-bearing part of a stamen (PO:0009029)."
"388"	"leaf"	"PO_0025034"	"solanum_lycopersicum.whole_plant.svg"	"A phyllome (PO:0006001) that is not associated with a reproductive structure."
"389"	"flower.bud"	"PO_0000056"	"solanum_lycopersicum.whole_plant.svg"	"A bud that develops into a flower."
"390"	"flower"	"PO_0009046"	"solanum_lycopersicum.whole_plant.svg"	"A determinate reproductive shoot system (PO:0025082) that has as part at least one carpel (PO:0009030) or at least one stamen (PO:0009029) and does not contain any other determinate shoot system (PO:0009006) as a part."
"391"	"fruit"	"PO_0009001"	"solanum_lycopersicum.whole_plant.svg"	"A multi-tissue plant structure (PO:0025496) that develops from a gynoecium (PO:0009062), or a single carpel (PO:0009030), and at maturity may have as parts one or more seeds (PO:0009010)."
"392"	"root"	"PO_0009005"	"solanum_lycopersicum.whole_plant.svg"	"A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately."
"393"	"inflorescence"	"PO_0009049"	"sorghum_bicolor.flower_parts.svg"	"A reproductive shoot system (PO:0025082) that has as parts all of the shoot axes (PO:0025029) and flowers (PO:0009046; must have two or more) distal to the most distal leaf (PO:0009025)."
"394"	"spikelet"	"PO_0009051"	"sorghum_bicolor.flower_parts.svg"	"A reproductive shoot system (PO:0025082) that is the ultimate and congested, higher order inflorescence axis (PO:0009081) of the grasses."
"395"	"caryopsis"	"PO_0009001"	"sorghum_bicolor.flower_parts.svg"	"A multi-tissue plant structure (PO:0025496) that develops from a gynoecium (PO:0009062), or a single carpel (PO:0009030), and at maturity may have as parts one or more seeds (PO:0009010)."
"396"	"anther"	"PO_0009066"	"sorghum_bicolor.flower_parts.svg"	"A collective plant organ structure (PO:0025007) that is the pollen-bearing part of a stamen (PO:0009029)."
"397"	"carpel"	"PO_0009030"	"sorghum_bicolor.flower_parts.svg"	"A megasporophyll, almost always at the center of a flower, its margins more or less fused together or with other carpels to enclose the ovule(s)."
