"root_total__control"	"root_total__hypoxia"	"root_p35S__control"	"root_p35S__hypoxia"	"root_pSCR__control"	"root_pSCR__hypoxia"	"root_pSHR__control"	"root_pSHR__hypoxia"	"root_pWOL__control"	"root_pWOL__hypoxia"	"root_pGL2__control"	"root_pGL2__hypoxia"	"root_pSUC2__control"	"root_pSUC2__hypoxia"	"root_pSultr2.2__control"	"root_pCO2__control"	"root_pCO2__hypoxia"	"root_pPEP__control"	"root_pPEP__hypoxia"	"root_pRPL11C__control"	"root_pRPL11C__hypoxia"	"shoot_total__control"	"shoot_total__hypoxia"	"shoot_p35S__control"	"shoot_p35S__hypoxia"	"shoot_pGL2__control"	"shoot_pGL2__hypoxia"	"shoot_pRBCS__control"	"shoot_pRBCS__hypoxia"	"shoot_pSUC2__control"	"shoot_pSUC2__hypoxia"	"shoot_pSultr2.2__control"	"shoot_pCER5__control"	"shoot_pCER5__hypoxia"	"shoot_pKAT1__control"	"shoot_pKAT1__hypoxia"	"metadata"
"PSBQ.PSBQ.2.PSII.Q"	6.32691645875	6.22796652133333	7.48687497433333	6.8256325065	6.7217557195	5.991334027	6.477249117	6.261345172	6.857181876	6.4742798675	7.459275283	6.694600198	5.9692456885	5.573129031	7.063260366	6.1691604495	5.9141752525	8.09583453	7.389270902	6.518856191	6.336715132	13.0868206766667	13.1640949766667	13.01631053	13.02853761	12.71484547	12.77377662	13.064388865	13.101755805	12.786673245	12.515339865	13.209633235	11.460186775	11.5307068	13.21078481	13.149890235	"Oxygen-evolving enhancer protein 3 precursor - like protein OXYGEN-EVOLVING ENHANCER PROTEIN 3 PRECURSOR (OEE3) (16 KD SUBUNIT OF OXYGEN-EVOLVING SYSTEM OF PHOTOSYSTEM II), Spinacia oleracea, gb:P12301;supported by full-length cDNA: Ceres:40326."
"CRK25"	10.042976227	9.88445935266667	8.82748193366667	8.7439345975	8.8859270425	9.210796318	8.727605514	8.8672248375	9.389873532	9.427848532	9.832534696	9.9613596585	9.360326198	9.472672118	9.3420768365	10.0586757965	9.9027908135	11.027167075	11.10035663	8.8051904845	8.847574413	5.264800351	5.240924076	5.353958928	5.327711724	5.3780513595	5.173019515	5.0351104195	5.386027052	5.472550374	5.4700326425	5.224300978	4.9796864275	5.0012885835	5.464091081	5.418422544	"receptor protein kinase - like protein receptor-like protein kinase homolog RK20-1, Phaesolus vulgaris, gb:AAD21872"
"PDF2"	5.5371369145	5.66219710233333	5.27557231566667	5.101185008	5.3089937095	5.363966887	5.18319781	5.2686588805	5.245664915	5.590270155	5.235079302	5.523409961	5.1725873	5.1780342815	5.2713405465	6.1461618445	5.447632257	4.9859050835	5.259113382	5.040252333	5.423523907	9.42597440466667	9.24945677633333	8.969264793	9.082228891	9.7882213175	9.816200676	8.5362607545	8.1816085915	9.279091605	9.4180267975	10.0152597425	11.88318675	10.90332992	9.667501707	9.1376081595	"putative homeotic protein  ; supported by cDNA: gi_15983371_gb_AF424560.1_AF424560"
"AtRbcX1.RbcX1"	4.4693497525	4.39926068866667	4.434572827	4.447659322	4.233923954	4.2471104825	4.326960397	4.5035083485	4.245093075	4.269230656	4.36194065566667	4.6408459935	4.2049889275	4.3329591205	4.2422339875	4.186334427	4.244430566	4.3605029505	4.5990663585	4.3524543095	4.533256459	8.60328665	9.55301141066667	9.156533255	9.4386380775	7.9246354725	9.153348695	8.8735413955	9.748923203	6.35429255	7.7239871075	8.6571165235	7.4619004745	8.152674893	8.7801440715	9.1952176555	"hypothetical protein  ; supported by cDNA: gi_15027850_gb_AY045782.1_"
"PETC.PGR1"	6.28075741275	6.75913861233333	8.109477812	7.7865580115	6.1766326165	6.1699966565	7.831648889	7.7030904345	7.708600657	7.327224049	7.82731502833333	7.6177485605	6.577811259	6.586585705	8.0525377325	6.749856962	6.3358629395	7.560285037	7.326225765	8.1384581085	7.409454388	13.3122823333333	13.24643725	13.05955648	13.36465298	12.679220415	12.93757696	13.29256707	13.06788037	12.81331366	12.883634685	13.31099197	11.69967669	12.250867715	13.26889754	13.28259642	"putative component of cytochrome B6-F complex  ; supported by cDNA: gi_13926181_gb_AF370566.1_AF370566"
"PSAD.1"	5.65965833675	5.85982533066667	6.794996589	6.767771182	6.226911182	5.885728552	6.5373642995	6.8092864725	6.107849917	6.6762300355	6.75155413366667	6.837995261	5.9739965765	6.091483419	6.7656901035	6.549094222	5.896587002	7.7200093465	7.5981124005	5.8331048555	6.0503794065	12.2038445133333	11.8583566866667	12.523466915	12.658593255	12.083569375	12.389520475	12.724766175	12.81221098	12.30871611	12.18921617	12.56694701	10.838512035	11.0313603	12.637351655	12.639398215	"putative photosystem I reaction center subunit II precursor similar to spinach PSI-D, GenBank accession number P12353;supported by full-length cDNA: Ceres:7630."
"RHS13.SRPP"	11.374426865	9.88165144033333	10.2556278833333	8.7695548575	10.3114148495	8.463968699	10.36532902	8.705058831	10.70775371	8.6016210035	9.840045939	8.3773236655	10.68384042	8.357370051	10.055737415	11.58262022	8.711836377	8.031235097	7.5071285615	8.744955737	7.430941134	5.735380834	5.50118659766667	5.2950822615	5.4792607555	5.582144735	5.783971649	5.389292594	5.91244296	5.7822440785	6.0316787235	5.321791903	5.2116313645	5.3678743255	5.352552463	5.0867290955	"hypothetical protein similar to extensin-like protein similar to A. thaliana hypothetical protein T30B22.16, GenBank accession number 2529673 similar to A thaliana hypothetical protein T30B22.17, GenBank accession number 2529674"
"AtWRKY22.WRKY22"	5.26695215875	9.343048756	5.197323623	9.284347273	4.931932995	10.54197125	5.009783789	10.615370415	5.0067142255	11.090241945	5.52836231733333	10.576130755	5.5702159275	10.916376965	5.5199340495	5.151421641	11.25756409	5.4205716805	11.53523056	5.332280102	10.407628415	5.82101225066667	7.23753907966667	5.6014225635	7.445649845	5.7097998055	7.5142880235	5.9001526115	6.8835760275	6.007587793	8.2697539995	5.982752705	6.2230138855	8.6546654045	5.900801099	8.4345182205	"putative DNA-binding protein  ; supported by cDNA: gi_15028172_gb_AY045909.1_"
"TROL"	5.45021535775	5.32002663266667	6.09087397566667	5.488771907	5.145216539	5.20478556	5.6774685715	5.1949483255	5.8079428515	5.166444616	6.410275503	5.77333541	6.9595013815	5.866421756	6.6417661415	5.4537982645	5.3285986705	7.0410940505	5.915799714	6.113302882	5.12376126	10.8509564166667	10.78195117	9.9484325965	10.0380704855	9.4496999175	9.653801858	10.28795374	10.155115955	10.0867675825	10.04918379	10.0018965585	9.480147567	9.490347989	9.828635258	10.3631337	"hypothetical protein  ; supported by cDNA: gi_15982914_gb_AY057565.1_"
"MCTP9"	9.2860743905	8.50921438066667	8.20286303666667	7.9902319415	8.64458508	8.011095337	8.424512776	7.4455808	8.948239501	8.1185227965	9.328533057	8.6884073305	9.0108466775	7.944937174	9.001502274	9.4194635805	8.2026454325	10.95763135	10.09355818	8.413600245	7.8512743185	5.834074152	5.56094906633333	6.00423685	5.1992392455	5.1391873345	5.0454810745	5.287487581	5.836467547	5.432137079	4.914611004	5.044933443	5.020833083	4.896143456	5.153928306	4.8347483875	"putative phosphoribosylanthranilate transferase"
"ADF8"	9.3248078455	8.49753592266667	8.170074838	7.4616226575	8.2791087275	7.2930036005	8.3028560265	7.317078907	8.818269887	8.322404534	7.88880060066667	6.9436496095	8.9109081535	7.2747352875	8.426998919	9.6215490895	7.713578389	6.755938521	6.3930278865	7.39789127	7.073755178	4.27420334866667	4.362352335	4.122064721	4.527171131	4.5248363635	4.5622329735	4.477844416	4.918078864	5.3540304315	5.5187787165	4.3927229295	4.1598583445	4.2677257935	4.316744506	4.4703624155	"putative actin-depolymerizing factor  ;supported by full-length cDNA: Ceres:26070."
"PIF8.UNE10"	4.96432895625	5.284600454	5.22362919	5.3670985705	5.027053578	4.9611295205	5.04991281	5.135686856	5.1193900905	5.066358505	5.66843822733333	6.0319989405	5.8411476405	6.1958091055	5.1448406725	5.173462523	5.239525643	5.100256384	5.0902178045	5.051544283	5.2763653835	8.85123740866667	8.97414075433333	9.468915447	9.8126495425	9.787995791	10.26297046	9.408663562	9.919229241	8.166283971	8.9884673505	10.309703475	10.86275591	10.553228065	9.217991724	9.5411191755	"putative transcriptional regulator"
"UNE11"	8.696973805	9.35328211933333	9.46141223766667	9.8934127465	7.688909184	7.946975677	7.8300819855	8.4219600405	7.5614440245	8.4473224735	7.954824294	8.6012933155	8.0645395645	8.106804381	7.777093427	8.109321311	8.6529156975	7.599020616	8.533180284	8.6776335985	9.184085551	5.36623937733333	5.402378751	5.563589795	5.8723667395	4.799529535	4.795100606	4.843175059	4.836603405	4.909956492	4.8551696375	4.7130247225	4.562312971	4.7313464415	4.9706459035	4.945864751	"putative protein"
"AtLrgB.LrgB.PLGG.PLGG1"	5.1401957645	5.61759021033333	5.41474963066667	5.1489942615	5.254259877	5.272071937	5.251005159	5.4765136805	5.0113726265	5.0911081965	5.21561508366667	5.6810914535	5.064421086	5.2518503205	5.141381878	5.1319684205	5.171360034	5.352032491	5.6373723775	4.9013970575	5.251197849	11.59249046	11.66112019	10.905688875	11.231211405	10.0071863015	10.576165945	11.345080535	11.557644535	8.878528955	9.6513044335	10.37883294	8.657867947	9.244715824	10.42455434	11.188673745	"unknown protein ;supported by full-length cDNA: Ceres:37302."
"PRK"	4.79255684525	4.80464525033333	5.17534274066667	5.0884096275	5.1346223305	4.790624888	4.924442512	4.870976545	4.9532641705	4.8045010125	5.08012071633333	5.2484365195	4.8178715685	4.75089192	5.1628400845	4.721490929	4.530278513	4.7677448455	4.797404564	4.7221497195	4.9201811545	12.54318033	12.39589944	11.859019495	12.17244052	11.402415935	11.846540695	12.2902157	12.465881245	9.785243341	10.269200185	12.20340436	10.0885614125	10.97391078	12.466048515	12.931005495	"phosphoribulokinase precursor identical to phosphoribulokinase precursor GB:P25697 GI:125576 from [Arabidopsis thaliana];supported by full-length cDNA: Ceres:11226."
"ATCLH1.ATHCOR1.CLH1.CORI1"	4.2639258075	4.638869535	4.50264216366667	4.4564114625	4.4557591035	4.6323020215	4.483794777	4.560829933	4.343854109	4.504623444	4.42263075633333	4.4057587355	4.2665621315	4.246996531	4.103371577	4.320717189	4.443533743	4.4369371955	4.860809541	4.3389720075	4.5297713495	6.94732711333333	7.19410414833333	7.2526637685	7.108092639	7.7040091635	8.241970403	6.228219479	7.5459627375	6.199610311	6.4313006485	7.2823809525	9.2530186975	9.649480103	6.836465991	6.8113653245	"unknown protein contains similarity to chlorophyllase GI:7415999 from [Chenopodium album]; supported by full-length cDNA: Ceres: 31589."
"WIP4"	4.73446085975	12.8884210466667	5.27360362833333	13.123095125	6.34209113	13.46041115	5.75876732	13.66660329	5.276467541	13.54518234	5.855520203	13.00962947	5.3232658745	13.042883845	6.3850798615	5.616178539	12.793643925	5.067508444	13.410216425	4.964008521	13.534701345	7.45068678866667	12.3709873866667	8.491250138	13.03744902	8.4975272905	13.22911384	8.661712969	12.455645775	5.6140701885	13.067581045	5.965528652	7.639718371	13.38686946	8.3982977245	13.345636235	"probable wound-induced protein wound-induced protein, Lycopersicon esculentum, PIR2:S19773;supported by full-length cDNA: Ceres:1831."
"GDPDL1.SVL2"	4.35912053375	4.22647881733333	4.486288892	4.594253188	4.210742424	4.3170613935	4.213203973	4.4098111115	4.3714624735	4.2932357835	4.32745527833333	4.446499658	4.481521578	4.4039494315	4.4509086815	4.3976477345	4.1995661845	4.5267117195	4.468284038	4.281376229	4.1679929665	9.76664162633333	9.54988776166667	9.0824602385	9.1977678625	8.939632909	9.175948068	9.549011051	9.422569709	7.270303531	7.404133878	9.550889571	8.9454225345	8.826772595	9.384462385	9.7589684615	"unknown protein"
"DRT112.PETE2"	6.8562298995	7.13961097166667	8.22841737133333	8.5527188095	6.8372370205	6.805288457	7.582771879	7.963500946	7.4791070945	7.511016875	8.16232851366667	8.523732467	6.541706424	6.6406395925	7.8108939075	7.170122107	7.07306711	8.5384729725	9.1199955995	7.073763252	7.10249233	13.0659763366667	12.8927000033333	13.206893205	13.44844712	12.688797705	13.361912515	13.27915804	13.45838198	12.571092825	12.324025125	13.07999907	11.79255728	12.1414797	13.17313502	13.477309725	"plastocyanin, putative similar to plastocyanin GI:1865683 from [Arabidopsis thaliana];supported by full-length cDNA: Ceres:23406."
"ABCG11.AtABCG11.ATWBC11.COF1.DSO.WBC11"	5.44106194975	5.296405118	4.94846612266667	4.8862948565	5.280833588	5.4644641665	4.9830121055	5.055427686	5.0556355945	5.050940788	5.488074149	5.478298099	5.12073869	4.850794672	4.833836708	6.186956027	5.3350960255	4.7658406445	4.958703261	4.582419642	4.826269079	9.97596348666667	9.78683094366667	9.7273698635	9.7967703135	10.74025447	10.98957719	9.2131419895	9.271074112	8.7731071345	8.7959057565	11.40305902	12.0925976	12.001777775	10.25642625	10.792715285	"ABC transporter, putative similar to ABC transporter GI:10280532 from [Homo sapiens]"
"LHCA2.1.Lhca6"	4.98636209275	5.31586922266667	4.97667270333333	5.5366548285	5.3079477425	5.277660586	4.9749200225	5.3275605995	5.222141804	5.1520553925	4.70576271433333	5.450838857	5.117930839	5.172000793	5.055964723	4.90000262	4.944599231	5.2368863035	5.339355299	4.980575202	5.2576904855	10.294170692	10.271957172	10.1873950205	10.67780549	9.240458548	9.8349699885	10.928638025	11.113118225	8.7857256725	8.593837185	10.097052321	7.141557739	8.308883273	10.55351915	10.610712335	"PSI type II chlorophyll a/b-binding protein, putative similar to PSI type II chlorophyll a/b-binding protein GI:541565 from [Arabidopsis thaliana];supported by full-length cDNA: Ceres:252299."
"ATNDI1.NDA1"	4.4620053445	4.53522648733333	4.456068145	4.7068958235	4.516950733	4.4613248485	4.360595705	4.532710692	4.4790793385	4.5947556475	4.47281873066667	4.467701296	4.4321661635	4.510673537	4.3998349935	4.3892233415	4.4185405605	4.587043358	4.441039298	4.563571873	4.570727255	7.84625041766667	9.09592502533333	6.8873777235	8.411171071	5.88120199	7.439725165	7.8066400375	8.654036659	4.886996158	6.1768025095	5.41590298	5.206794976	6.2211288095	5.9384181605	8.0993815145	"unknown protein contains similarity to alternative NADH-dehydrogenase GI:3718005 from [Yarrowia lipolytica];supported by full-length cDNA: Ceres:114420."
"ATLAC1.LAC1"	9.2145196755	7.63512568633333	9.04700109566667	7.998004188	10.51933199	9.0033968245	8.600563307	8.079041574	9.533113607	8.3403081275	9.02396852266667	7.157920199	8.5377857555	7.34012176	8.801594389	9.1129253315	7.656875725	6.9625348445	6.3413720835	9.6388552325	8.4755585635	5.12316989966667	5.22452757866667	5.261435002	5.0344721005	4.932174734	5.063899945	5.03674548	4.9761601635	5.180555152	4.8317288185	4.962193561	4.973254576	4.951142657	5.2277088175	5.1817129355	"laccase, putative similar to high-pI laccase (LAC2-1) GI:1621460 from (Liriodendron tulipifera)"
"SIF3"	4.20492991375	4.28226506733333	4.22931860266667	4.158764745	4.239149948	4.2657362125	4.4040607885	4.251733933	4.115009481	4.1808257455	4.11665144333333	4.1506842375	4.195772215	4.213051009	4.15393088	4.1886873855	4.154732379	4.300298559	4.242098134	4.1025302295	4.3398845915	9.048477116	9.55591677033333	9.023375123	9.07549198	9.819925221	10.286600134	8.6608115965	8.839958805	7.6923575195	9.0613072125	10.23638593	11.21091637	11.04080932	9.0849470665	9.7343989515	"receptor protein kinase, putative contains Pfam profiles: PF00069: Eukaryotic protein kinase domain, multiple PF00560: Leucine Rich Repeat"
"ATHCHIB.B.CHI.CHI.B.HCHIB.PR.3.PR3"	8.1446775425	10.63015319	7.36760831766667	10.485913835	8.3996433935	11.7348907	7.6703774645	10.61733166	7.4449679515	11.16775364	8.346246095	11.13557466	6.650375217	9.8240040965	7.298445098	7.8681828795	10.8813303	7.335425893	11.425447505	6.9232856685	10.478673385	5.310337868	6.34589483	5.172465666	6.338867147	4.8104013685	5.992941026	4.663032499	5.231703379	5.024675965	5.179034366	4.708854015	4.797859067	6.3878623635	5.076883552	6.2772645065	"basic chitinase identical to basic chitinase GB:AAA32769 GI:166666 [Arabidopsis thaliana] (Plant Physiol. 93, 907-914 (1990)); supported by cDNA: gi_15451095_gb_AY054628.1_"
"AtLEA4.1.LEA4.1"	4.6628836865	4.633965997	5.214806059	4.9192489445	4.561750575	4.513338553	4.308331595	4.635959964	4.566328709	4.526328649	4.62545060066667	4.700370272	4.5975898045	4.5804310005	4.4522026585	4.742131068	4.582077577	4.3288480405	4.574077332	4.567358627	4.8477630375	8.06180079833333	7.11516481766667	9.348926781	8.4557452085	5.360476473	5.652083903	5.265768564	5.402436321	7.9323333	8.000726998	5.775950017	6.1516586135	5.7092360455	7.812470571	6.684756937	"late-embryogenesis abundant protein, putative similar to GI:4102692 from [Glycine max]"
"LOL1"	4.99710752075	4.871812312	5.25725005966667	5.4277432645	5.0211209185	5.00874697	4.848695603	4.8042656455	4.633411036	4.612153567	4.99151749733333	5.1654061105	4.79897743	5.0105142675	4.74951006	4.830357115	4.8691402865	4.842436725	5.139125606	4.8421969465	5.732399837	8.429664641	9.481560164	8.8443924185	9.7014065	8.8043439755	9.5849456065	9.084901153	9.696282017	10.56610912	9.742224784	9.1254853165	7.6083862645	8.998201047	8.7417673285	9.660382777	"zinc-finger protein, putative similar to GI:5262161 from [Arabidopsis thaliana]; supported by cDNA: gi_16323142_gb_AY057675.1_"
"CXC750.ECS1"	4.46396101975	4.56640307266667	4.71579797466667	4.6865226285	4.5076483155	4.3059880855	4.4143782775	4.581860763	4.2980659595	4.235952118	4.530519432	4.6866167175	4.4572836765	4.5571143745	4.6182769075	4.437669513	4.21192869	4.449349489	4.642600044	4.3970611215	4.5771006955	10.2122081033333	11.30303026	10.564214825	11.642697055	10.649758795	11.404989075	10.795549925	11.69053029	8.114885698	9.4945419095	11.230148975	10.467577985	11.614376505	11.23486984	12.10150301	"ORF1, putative similar to ORF1 GI:457716 from (Arabidopsis thaliana); supported by cDNA: gi_16649160_gb_AY059950.1_"
"PMI1"	5.59224789875	6.455044954	5.73723172866667	6.293033683	6.220468004	6.365601372	5.9799201365	6.7308343765	5.714761281	6.6796706905	6.40328726166667	7.577213229	5.821048794	6.9171880925	5.7919623765	6.3695906355	7.5759235635	7.8765272375	8.3073490085	5.814737086	6.611457883	10.5078828333333	10.5233344666667	9.969441134	10.13247444	10.239987025	10.29573157	10.38797242	10.25204831	9.099670605	9.601861915	10.6737763	10.97543138	11.288914545	10.92908941	11.089715795	"unknown protein"
"CYP81D11"	9.47752297025	10.9806040033333	8.44371761533333	10.2221495985	9.503316546	10.47903625	8.279737544	9.5505062245	8.9871208775	10.1751961645	9.31019738333333	9.931341482	8.667664143	10.3684596205	8.784208682	8.303693194	10.299451385	10.2269050595	11.91437581	7.5833257145	9.9799611115	6.07572009366667	6.772390535	5.721702776	5.7381276295	5.60441679	5.695022301	5.803759788	6.1100327365	5.070987737	5.868072125	5.671668916	5.4981630405	5.819145764	5.5130540675	5.966527252	"cytochrome P450, putative contains Pfam profile: PF00067 cytochrome P450; supported by cDNA: gi_15292830_gb_AY050849.1_"
"AFL1"	4.40010100475	4.46035774166667	4.57314297966667	4.511056986	4.4840295935	4.4509708135	4.3762869425	4.538826197	4.559386439	4.332327749	4.44495505033333	4.8113737605	4.611939161	4.533273123	4.4833402265	4.498862048	4.3550695765	4.5952621035	4.6992230175	4.509364898	4.6829703655	7.967228666	9.095525873	7.8492909855	8.6399939695	6.989126969	8.1155812085	8.875030081	9.611610888	6.307741757	6.8520928885	7.8634074905	5.799979907	5.8780155985	8.6890955845	9.2382454915	"unknown protein similar to At14a protein GB:AAD26355 GI:4589123 [Arabidopsis thaliana]; supported by cDNA: gi_16226582_gb_AF428437.1_AF428437"
"AtTic62.Tic62"	4.6816701085	4.76081327566667	4.950409663	4.9989301385	4.8223547985	4.739559533	4.9562842935	4.8635311525	4.7749592345	4.7606969285	4.93265970833333	4.9282944055	4.7302260285	4.919279638	4.878709934	4.756086914	4.908521544	4.6363218065	4.999741277	4.725384173	5.278936341	9.03361446066667	9.21328322033333	7.5235423585	8.1574088445	8.296382038	8.355948588	8.4439530845	8.532984548	7.7416389355	8.08546257	8.18741275	6.609723935	7.1154641235	10.0739805725	9.800858018	"hypothetical protein predicted by genemark.hmm"
"PCC1"	6.4607769045	6.39062215466667	6.249389763	6.118452112	6.324496409	6.989337935	5.919077092	5.9611413395	5.98277844	6.49772826	5.94431916966667	6.0093046925	6.377019492	5.9478333675	6.0513648985	6.216026905	6.369506426	7.8718692825	8.5636225595	5.900459672	6.0555492635	8.34581644866667	10.0787773416667	9.2565521075	11.03085597	10.402088175	11.735721435	9.902274293	11.610489245	7.5955118965	8.7659777965	11.148267205	10.411488495	12.432686585	10.051158071	12.43123017	"Expressed protein ; supported by cDNA: gi_14335055_gb_AY037207.1_"
"CWLP"	5.36479166675	5.63584755333333	5.50331194033333	6.1206729565	6.7995755225	7.58384746	5.7754295885	7.329367197	5.55556743	7.341320212	6.90759484633333	8.883327936	5.859166834	6.8837551435	5.7629114605	5.7688412735	7.670734574	5.479955462	7.0982319745	5.1252886955	5.752916303	12.43243924	12.5101500266667	12.417916405	12.787387305	12.123051405	12.69546456	12.64631646	12.83732024	9.9578733855	11.435316505	11.186653145	9.4911963495	10.73901516	11.94933114	12.985369675	"unknown protein similar to cell wall-plasma membrane linker protein GB:CAA64425 from [Brassica napus]"
"CYP71B37"	8.62916275575	7.58884078833333	8.77468334833333	7.551921497	9.539086922	8.5069779765	8.437414342	7.702118109	9.1212357155	8.047089479	8.19954827233333	7.0924899345	7.581680223	5.98286429	8.6291880975	8.1752925855	7.2010054905	7.9785435615	6.20919748	9.5100546715	8.463084984	5.09685673133333	4.534583587	4.576704954	4.4218456415	4.5651270325	4.666501999	4.418229668	4.3801062595	4.4423964145	4.619429513	4.636517058	5.0904681265	4.700896509	4.8359196945	4.4286021315	"cytochrome P450, putative contains Pfam profile: PF00067 cytochrome P450"
"PSBTN"	5.21328659675	5.41626377366667	6.365684838	6.0397113435	5.430250277	5.286724406	5.7724114745	5.5499709975	5.563105905	5.508070044	6.65199528866667	5.8639034845	4.973450342	5.1894831065	6.00484066	5.312384148	5.260133217	5.918797128	5.8206303755	5.398337273	5.422746308	12.3158927833333	11.6755355266667	12.976614785	13.00115381	12.01987591	12.39695959	13.056201435	12.88305497	11.856450195	10.553872485	12.25694576	9.936622903	10.70755818	12.790842405	12.38031267	"Expressed protein ; supported by full-length cDNA: Ceres: 38257."
"ESM1"	5.093090403	5.20004932	5.25528717633333	5.270462528	5.1699942255	5.0684076205	5.1348732655	4.8712222535	5.0925800395	5.0818727695	5.095694191	5.2536376055	5.1607157135	4.9498977975	5.1371167985	5.2331498455	4.936294747	5.552723922	5.188927332	5.267342579	5.2580883645	11.7860393933333	11.3626426333333	10.91928503	10.939485875	10.73848899	10.658509265	11.649223075	11.202265605	7.7075352935	7.442850097	9.6422572515	7.8930019875	8.0147981085	10.86962441	10.52774306	"myrosinase-associated protein, putative similar to GB:CAA71238 from [Brassica napus], conatains Pfam profile:PF00657 Lipase/Acylhydrolase with GDSL-like motif; supported by cDNA: gi_15450434_gb_AY052318.1_"
"ATMYB71.MYB305"	4.19368923125	6.24467292266667	4.708939405	8.165241956	4.29683316	7.01611182	4.3539587255	7.878986717	4.721790296	8.021125603	4.376150428	7.32631606	4.265145357	7.312991581	4.294680651	4.343228242	6.4433436555	3.9738342615	5.5753951445	4.842235257	8.535668875	3.87809075766667	4.00681560666667	3.983685202	3.8784711545	3.8729626005	3.880543145	3.967758478	3.8711731875	3.960542419	3.9876534195	3.8825228695	3.803404854	3.909532993	4.014039045	3.9902880395	"DNA-binding protein, putative similar to myb protein 305 GB:JQ0958 from  [garden snapdragon] (Plant Cell (1991) 3 (2), 115-125); supported by cDNA: gi_1732512_gb_U62743.1_ATU62743"
"SAUR63"	3.985582787	3.91897214666667	4.129896426	4.395533429	4.1695541185	4.487932448	4.4521940695	4.5003813515	4.578354016	4.6053629155	3.844681002	4.0520342255	3.8072705815	3.807335841	3.8720868475	3.813272887	3.8680967265	3.844660817	3.870843259	3.912591965	3.8966319115	5.60543203033333	5.64193803033333	7.159737179	7.487165712	7.7761218915	7.6870429125	6.776814813	7.151559034	5.1716849325	4.2978698455	7.826005771	8.46134354	6.87594017	6.4083993945	5.614946977	"auxin-induced protein, putative similar to SP:P33083 from [Glycine max]"
"PGX1"	8.742655988	9.75781025333333	8.985995283	9.767795047	9.007252778	11.053593885	9.053536894	10.869757435	9.319978565	10.40874383	9.21776274666667	10.47853757	9.015234161	11.43622385	8.5708842145	10.056154041	11.61155388	7.621549536	9.67391241	9.186222823	10.86660598	5.73890266066667	5.960081011	5.9524738085	5.648116031	5.507310309	5.7475490225	5.844924087	6.0097951705	5.7227516515	5.832891353	5.365455315	4.966318175	5.420293326	5.788491629	6.184974668	"polygalacturonase, putative similar to polygalacturonase (PG1) GB:AAD46483 [Glycine max]"
"CYP71B4"	4.427725759	4.36174115433333	4.42201965566667	4.324147625	4.359202402	4.2980607255	4.430613967	4.56575987	4.4577174645	4.3101780265	4.38726166133333	4.373811648	4.434746218	4.370107923	4.506235571	4.3107168695	4.3382462995	4.4421050435	4.524603156	4.3765715885	4.4509414665	8.161120988	7.229025297	7.6020254335	7.530658128	8.7516807135	8.7907772655	7.665073859	7.423281226	7.495357819	7.024779593	9.3895748035	9.6494064825	9.34162305	8.0216400125	7.7002555445	"cytochrome P450 monooxygenase (CYP71B4) identical to cytochrome P450 monooxygenase (CYP71B4) GB:D78603 [Arabidopsis thaliana] (Plant Mol. Biol. 37 (1), 39-52 (1998)); supported by cDNA: gi_3164135_dbj_D78603.1_D78603"
"ATAIG1.BHLH32.TMO5"	6.85120109675	6.481118071	8.824847485	8.2515484355	6.0267186975	5.89596569	9.5727038455	8.743948199	8.3620437415	8.140594762	7.51146173666667	6.627355003	6.112888859	5.6822017925	8.2036533445	6.429236871	6.082759045	5.884230329	5.6626458025	9.034113369	8.7407858175	5.16304343933333	4.71489824266667	4.9185471	4.6248410125	5.0701312435	4.4965440455	4.472793074	4.562066665	5.160206394	4.644925425	5.643773	4.3321164915	4.42542255	5.152821331	4.885590582	"putative HLH DNA-binding protein contains Pfam profile: PF00010 helix-loop-helix DNA-binding domain;supported by full-length cDNA: Ceres:247881."
"HHO1.NIGT1.3"	9.963989159	10.613481282	9.43243175933333	10.18943779	9.2346504545	11.078383255	8.982226934	10.571121255	10.045456235	11.04448149	10.68020686	10.70732278	10.0956694405	11.798946805	9.804383674	10.401435945	11.68400181	11.551321475	12.60963024	9.770413034	11.04175941	7.16769950433333	6.64045327433333	6.390775752	6.157871046	6.1594383925	5.5246933895	6.911682543	5.842013842	5.05285611	6.138800607	6.177781163	4.875566491	5.028497937	7.5392896225	7.4774077635	"unknown protein  ;supported by full-length cDNA: Ceres:157740."
"AtSDR4.SDR4"	13.0361317325	13.0795083966667	12.19789831	12.485925915	12.61383766	12.513377045	12.52967754	12.552189305	12.94132757	13.001326985	12.8084051133333	12.920304275	12.270741985	11.976868965	12.34579815	12.94455553	12.80861376	13.34778451	13.216960875	12.243246625	12.435225385	7.775690593	7.25623192033333	8.2029910935	7.841529195	7.4456421305	6.750322832	7.75395643	7.095735967	6.341785158	6.084398631	5.4071754245	7.404039391	6.426623461	7.5531446585	6.886786247	"short-chain alcohol dehydrogenase, putative similar to short-chain alcohol dehydrogenase GB:AAF04194  [Pisum sativum]; contains Pfam profile: PF00106 short chain dehydrogenase"
