"brain__DBA.2J"	"colon__DBA.2J"	"kidney__DBA.2J"	"liver__DBA.2J"	"lung__DBA.2J"	"brain__C57BL.6"	"colon__C57BL.6"	"kidney__C57BL.6"	"liver__C57BL.6"	"lung__C57BL.6"	"brain__CD1"	"colon__CD1"	"kidney__CD1"	"liver__CD1"	"lung__CD1"	"metadata"
"Igfbp2"	406	12	32	7586	3347	639	15	66	14951	2366	475	25	144	19125	1414	"insulin-like growth factor binding protein 2"
"Sectm1b"	0	9317	718	18	5	0	20822	2081	0	0	0	10733	2193	0	2	"secreted and transmembrane 1B"
"Cdh6"	1160	44	158	11	46	840	48	155	22	83	561	25	75	12	31	"cadherin 6"
"Cntnap2"	4600	23	7	0	94	3263	29	3	0	0	2324	6	35	3	53	"contactin associated protein-like 2"
"Tspyl4"	11398	122	204	38	474	7237	128	276	96	459	8695	160	175	35	403	"TSPY-like 4"
"Cyp7b1"	447	60	5682	45782	190	298	76	7747	29536	75	304	94	6633	34480	143	"cytochrome P450, family 7, subfamily b, polypeptide 1"
"Mmd2"	3047	5	15	375	0	2564	11	20	321	0	2385	8	24	725	0	"monocyte to macrophage differentiation-associated 2"
"Ncam1"	6970	247	140	4	53	5317	314	136	18	51	5937	344	142	6	107	"neural cell adhesion molecule 1"
"Capsl"	26	8	6	1	310	50	12	11	3	300	32	0	16	6	148	"calcyphosine-like"
"Batf2"	9	775	31	11	84	1	963	35	18	55	0	567	22	20	107	"basic leucine zipper transcription factor, ATF-like 2"
"Dock3"	6326	35	1	1	0	5938	59	2	1	1	6238	63	6	9	12	"dedicator of cyto-kinesis 3"
"Galnt12"	31	429	28	6	105	32	536	54	8	127	34	715	39	3	68	"polypeptide N-acetylgalactosaminyltransferase 12"
"Gabbr2"	8099	7	11	775	1	8177	2	18	1263	0	7925	4	2	844	1	"gamma-aminobutyric acid (GABA) B receptor, 2"
"Lrrc17"	3	33	17	2	198	2	57	23	3	176	5	73	14	3	306	"leucine rich repeat containing 17"
"Mrap"	7	1	8	1713	45	8	6	65	1821	8	11	2	28	1618	8	"melanocortin 2 receptor accessory protein"
"Ccdc40"	56	10	10	6	758	88	12	8	11	540	49	6	16	12	551	"coiled-coil domain containing 40"
"Magi2"	2415	9	357	11	132	1973	22	356	7	117	2393	19	270	12	129	"membrane associated guanylate kinase, WW and PDZ domain containing 2"
"Gnaz"	1355	22	83	1	92	1324	45	70	4	78	1670	35	108	6	97	"guanine nucleotide binding protein, alpha z subunit"
"Disp2"	13874	132	2	5	276	8073	131	9	111	381	10209	140	10	20	482	"dispatched RND tramsporter family member 2"
"Negr1"	5805	15	36	1	54	6432	26	92	0	107	5477	27	20	6	37	"neuronal growth regulator 1"
"Gjb6"	1332	1	47	1	176	834	5	57	4	204	785	6	6	6	141	"gap junction protein, beta 6"
"Bub1b"	10	760	24	19	93	68	690	49	34	144	9	750	63	15	93	"BUB1B, mitotic checkpoint serine/threonine kinase"
"Cacna2d1"	6024	243	152	27	596	5837	125	95	23	626	5981	310	85	35	502	"calcium channel, voltage-dependent, alpha2/delta subunit 1"
"Rdh7"	0	2633	8	35121	0	0	3696	10	47449	5	0	2717	34	34567	0	"retinol dehydrogenase 7"
"Abcc8"	836	52	5	0	9	1036	40	24	0	27	1291	48	10	0	28	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"
"Pclaf"	26	329	23	5	38	27	532	31	12	69	6	492	34	20	42	"PCNA clamp associated factor"
"Gbp2b"	3	612	9	89	38	0	455	7	167	11	2	390	10	102	28	"guanylate binding protein 2b"
"Dnm3"	7353	71	323	29	321	4609	80	386	19	249	4149	50	61	3	413	"dynamin 3"
"Pacsin1"	7545	68	17	5	38	8904	105	10	8	41	9975	177	32	12	47	"protein kinase C and casein kinase substrate in neurons 1"
"Ndufa4l2"	21	20	79	39	208	18	25	58	44	175	15	69	57	23	624	"Ndufa4, mitochondrial complex associated like 2"
"Trim7"	63	197	4319	455	186	64	419	3591	553	260	53	396	4711	592	132	"tripartite motif-containing 7"
"Wdr47"	3587	121	292	72	551	3253	85	299	66	464	3615	115	264	64	501	"WD repeat domain 47"
"Hipk4"	986	12	10	0	33	1298	5	10	5	13	1187	27	14	0	43	"homeodomain interacting protein kinase 4"
"Ltb4r2"	10	813	22	72	16	8	681	15	77	5	6	613	20	93	18	"leukotriene B4 receptor 2"
"Ltbp4"	814	1288	894	404	6087	1240	1640	1319	1893	2519	1380	2784	1512	838	21649	"latent transforming growth factor beta binding protein 4"
"Adam22"	7734	115	201	21	419	6712	74	165	14	363	7055	67	142	17	280	"a disintegrin and metallopeptidase domain 22"
"Apoc1"	18	1	22	177933	289	15	14	102	105287	291	8	15	63	94463	245	"apolipoprotein C-I"
"Abcb1a"	616	7577	47	95	549	293	6307	70	54	681	293	4107	91	160	607	"ATP-binding cassette, sub-family B (MDR/TAP), member 1A"
"Eps8l3"	1	7095	18	2	0	1	5490	39	0	0	2	5092	59	3	0	"EPS8-like 3"
"Erc2"	4052	12	1049	416	97	4891	22	687	363	98	5143	13	550	247	100	"ELKS/RAB6-interacting/CAST family member 2"
"Ppp1r14c"	250	11	1	1	739	174	20	6	0	1307	194	13	2	0	618	"protein phosphatase 1, regulatory inhibitor subunit 14C"
"Agmat"	27	1679	102	8159	2	15	775	48	7920	3	26	758	61	4748	0	"agmatine ureohydrolase (agmatinase)"
"Creg1"	705	844	1933	26183	3690	486	1241	1637	14701	2180	411	1050	1364	11984	2269	"cellular repressor of E1A-stimulated genes 1"
"Kcna2"	11955	139	9	107	568	8449	131	25	197	301	9068	106	12	171	649	"potassium voltage-gated channel, shaker-related subfamily, member 2"
"Myh6"	94	1	6	0	957	151	22	41	0	2275	86	38	12	15	5746	"myosin, heavy polypeptide 6, cardiac muscle, alpha"
"Ttc3"	31602	1478	1118	1122	1669	26106	1467	1259	1012	1957	30951	1456	1335	1508	1483	"tetratricopeptide repeat domain 3"
"Iqsec3"	5406	35	9	1	0	4190	31	6	1	0	5344	35	12	3	1	"IQ motif and Sec7 domain 3"
"S100g"	1	49297	4297	35	754	0	1709	6140	1	1614	5	26175	2766	0	419	"S100 calcium binding protein G"
"Begain"	1908	12	2	1	16	1909	15	5	0	40	2358	42	18	3	117	"brain-enriched guanylate kinase-associated"
"Tmem205"	266	565	1832	15833	797	379	1136	2217	16648	1055	376	1038	1936	9113	707	"transmembrane protein 205"
"Kcnd3"	2806	48	205	1	44	2705	37	156	4	22	2676	79	75	0	70	"potassium voltage-gated channel, Shal-related family, member 3"
"Atp1a3"	62377	104	5	6	192	42859	253	18	12	215	42532	194	10	49	224	"ATPase, Na+/K+ transporting, alpha 3 polypeptide"
"Slc19a2"	488	600	347	4823	156	337	301	427	4964	180	304	121	477	2561	136	"solute carrier family 19 (thiamine transporter), member 2"
"Gm11992"	35	32	742	32	86	36	12	843	37	68	20	25	686	44	64	"predicted gene 11992"
"Ramp3"	114	14	573	2	65	231	23	244	5	38	124	33	810	6	63	"receptor (calcitonin) activity modifying protein 3"
"Nacad"	1091	46	50	2	57	1032	59	46	10	74	1114	140	45	9	145	"NAC alpha domain containing"
"Cyyr1"	151	116	339	232	4293	70	74	251	127	3272	67	79	207	145	4641	"cysteine and tyrosine-rich protein 1"
"Pla2g2d"	5	194	1	1	85	6	589	7	3	37	6	490	4	3	27	"phospholipase A2, group IID"
"Cftr"	13	4752	229	5	412	32	1695	205	4	227	12	1686	170	6	303	"cystic fibrosis transmembrane conductance regulator"
"Atp1b2"	15336	131	338	12	200	6466	102	461	14	85	8091	231	254	20	345	"ATPase, Na+/K+ transporting, beta 2 polypeptide"
"Myzap"	22	714	83	83	3767	25	772	163	41	4018	35	463	164	29	4090	"myocardial zonula adherens protein"
"Cldn5"	233	44	121	277	4723	176	96	122	176	5982	133	83	166	122	4351	"claudin 5"
"Htr2c"	2178	1	0	0	47	1835	2	0	0	54	931	0	0	0	28	"5-hydroxytryptamine (serotonin) receptor 2C"
"Piezo2"	38	102	175	40	1471	52	40	92	48	1336	35	48	71	26	1252	"piezo-type mechanosensitive ion channel component 2"
"Hspb8"	321	145	127	6213	940	238	247	116	7437	1194	128	365	128	8112	702	"heat shock protein 8"
"Fbxo2"	1122	3	22	0	13	967	6	12	6	47	1042	4	41	0	16	"F-box protein 2"
"Mbp"	90965	803	206	22	1203	49560	863	337	40	1061	30619	915	268	116	1410	"myelin basic protein"
"Ccdc74a"	321	23	11	6	70	367	14	5	22	69	429	10	4	12	68	"coiled-coil domain containing 74A"
"Slc5a12"	7	258	8712	0	105	5	1916	5610	0	157	6	179	6767	0	72	"solute carrier family 5 (sodium/glucose cotransporter), member 12"
"Rragb"	2085	16	27	0	58	1353	9	46	3	55	1675	19	26	3	40	"Ras-related GTP binding B"
"Bbox1"	135	613	19	7233	86	46	1219	25	5384	79	23	575	49	5064	44	"butyrobetaine (gamma), 2-oxoglutarate dioxygenase 1 (gamma-butyrobetaine hydroxylase)"
"Rims1"	5583	178	1	0	3	6049	159	1	0	8	6305	219	6	9	13	"regulating synaptic membrane exocytosis 1"
"Mpped1"	3197	0	373	1	0	3300	0	378	1	0	5579	2	594	0	0	"metallophosphoesterase domain containing 1"
"Tmem45b"	3	7012	1080	5	60	2	8603	1124	5	20	0	2140	201	3	1	"transmembrane protein 45b"
"Enc1"	11893	306	159	96	435	15777	247	162	167	380	15508	275	83	70	430	"ectodermal-neural cortex 1"
"Myrip"	1257	60	36	5	196	1343	48	32	13	210	1799	88	45	12	739	"myosin VIIA and Rab interacting protein"
"Gck"	29	13	1	5834	54	37	45	2	3854	52	29	29	2	4771	26	"glucokinase"
"Efhc1"	23	14	25	6	377	46	14	20	3	331	14	10	32	9	226	"EF-hand domain (C-terminal) containing 1"
"Fam169a"	1833	25	36	12	10	1581	11	39	10	5	1759	6	20	15	6	"family with sequence similarity 169, member A"
"Oasl1"	1	1858	36	177	34	1	2697	54	707	40	0	1994	101	342	37	"2'-5' oligoadenylate synthetase-like 1"
"Sytl3"	1	213	33	1	38	2	370	20	0	28	0	229	32	0	34	"synaptotagmin-like 3"
"Macc1"	9	46	65	6	495	1	17	74	5	441	3	31	45	0	328	"metastasis associated in colon cancer 1"
"Shisa4"	2160	20	162	6	82	2360	82	212	12	89	2006	123	134	9	109	"shisa family member 4"
"Elmod1"	5371	19	21	1	182	3592	3	24	0	189	4729	13	8	6	82	"ELMO/CED-12 domain containing 1"
"2010003K11Rik"	0	3445	53	352	0	0	3184	74	164	1	0	3736	79	302	0	"RIKEN cDNA 2010003K11 gene"
"Svop"	2330	15	37	0	2	2711	15	31	0	0	3304	35	53	0	0	"SV2 related protein"
"Dao"	41	724	8034	0	0	4	666	7311	0	0	6	481	11969	0	0	"D-amino acid oxidase"
"Dmgdh"	21	0	3342	17261	0	23	0	3286	23136	0	8	0	3141	21538	0	"dimethylglycine dehydrogenase precursor"
"Csdc2"	2433	22	147	19	29	2058	23	87	12	42	1927	38	81	3	83	"cold shock domain containing C2, RNA binding"
"Dzip1"	2072	87	221	22	285	1631	66	131	22	246	1846	104	172	20	255	"DAZ interacting protein 1"
"Cmklr1"	27	86	84	40	1385	42	125	132	120	720	38	92	197	96	3216	"chemokine-like receptor 1"
"Slc35f2"	105	1969	326	15	14	70	1974	419	34	23	92	1546	367	12	15	"solute carrier family 35, member F2"
"Zfand4"	148	24	20	1349	113	104	5	20	929	65	73	38	37	827	74	"zinc finger, AN1-type domain 4"
"Sgsm1"	2133	96	79	57	211	2556	116	111	103	139	2880	144	103	99	147	"small G protein signaling modulator 1"
"S100a14"	1	48	6	1	238	1	54	21	1	115	2	35	14	0	365	"S100 calcium binding protein A14"
"Mfap4"	36	124	18	18	10161	32	354	48	29	6580	49	479	47	44	14967	"microfibrillar-associated protein 4"
"Abcb4"	135	7	8	9266	13	179	5	8	11009	10	128	8	10	8637	16	"ATP-binding cassette, sub-family B (MDR/TAP), member 4"
"Golga7b"	2684	35	1	1	2	1770	28	1	1	0	2393	38	0	3	1	"golgi autoantigen, golgin subfamily a, 7B"
"Cux2"	1547	169	104	13	159	1824	253	70	20	121	2219	263	105	35	237	"cut-like homeobox 2"
"Gucy2c"	42	9183	0	39	1	9	11217	0	37	5	14	6232	2	212	2	"guanylate cyclase 2c"
"Jph1"	523	13	19	29	40	479	11	26	32	36	630	15	16	90	53	"junctophilin 1"
"Dnali1"	21	1	13	10	733	78	2	8	5	498	37	4	32	9	469	"dynein, axonemal, light intermediate polypeptide 1"
"Sgtb"	3563	53	283	171	188	3273	49	198	162	163	3669	31	174	78	239	"small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta"
"Bex2"	2277	21	6	1	199	2586	37	10	1	507	1592	56	6	3	169	"brain expressed X-linked 2"
"Nmnat2"	4049	36	6	8	189	3850	14	13	10	199	3842	40	12	3	197	"nicotinamide nucleotide adenylyltransferase 2"
"Hebp1"	281	124	181	7909	542	428	97	1189	7324	300	281	227	424	5168	500	"heme binding protein 1"
"Muc1"	13	16	264	19	4949	13	593	907	31	2091	17	661	578	23	4460	"mucin 1, transmembrane"
"Gpx2"	1	3079	0	4	262	0	8301	2	3	391	2	2709	0	0	153	"glutathione peroxidase 2"
"Foxf1"	11	316	7	53	2726	3	225	5	41	2896	5	308	2	32	3590	"forkhead box F1"
"Snai1"	5	42	50	12	143	6	39	32	23	154	3	42	45	38	537	"snail family zinc finger 1"
"Serpinb6b"	29	176	140	56	1662	22	142	160	61	2224	11	125	162	26	1158	"serine (or cysteine) peptidase inhibitor, clade B, member 6b"
"Lhfpl4"	2503	9	3	0	36	2783	8	4	0	17	3374	27	8	0	36	"lipoma HMGIC fusion partner-like protein 4"
"Egflam"	109	103	279	22	1206	63	145	261	27	1424	52	146	300	29	2193	"EGF-like, fibronectin type III and laminin G domains"
"Upk3b"	0	40	85	42	1058	0	148	179	60	436	0	163	140	35	1410	"uroplakin 3B"
"Gng2"	3687	244	154	39	656	3869	285	214	58	636	4441	248	83	41	730	"guanine nucleotide binding protein (G protein), gamma 2"
"Gprasp1"	21983	377	651	304	964	20055	527	678	383	1266	19431	410	341	284	716	"G protein-coupled receptor associated sorting protein 1"
"Rnf227"	3541	14	40	68	53	2094	23	37	16	69	3258	10	34	46	50	"ring finger protein 227"
"Hilpda"	62	48	29	46	1262	72	62	36	66	2014	99	77	35	52	1052	"hypoxia inducible lipid droplet associated"
"Zfp536"	639	43	5	1	9	643	48	6	2	13	565	60	6	0	20	"zinc finger protein 536"
"Lgals2"	16	13915	5	8	89	5	22390	9	14	37	11	10764	0	3	83	"lectin, galactose-binding, soluble 2"
"Sorcs1"	1060	10	198	0	5	1012	11	20	1	0	905	6	231	0	2	"sortilin-related VPS10 domain containing receptor 1"
"Fam25c"	0	0	26	1457	3	1	5	35	1557	1	0	0	47	1259	1	"family with sequence similarity 25, member C"
"Pkhd1"	2	18	4511	236	15	0	35	2769	231	5	0	56	3705	151	17	"polycystic kidney and hepatic disease 1"
"Ccrl2"	21	67	97	41	932	11	83	126	44	690	11	88	53	23	1028	"chemokine (C-C motif) receptor-like 2"
"Emx2"	165	0	1330	0	0	132	0	737	0	0	173	0	931	0	0	"empty spiracles homeobox 2"
"Gls2"	560	63	9	16963	11	455	237	9	22245	15	573	525	8	13156	27	"glutaminase 2 (liver, mitochondrial)"
"Slc35g1"	128	7154	444	1069	143	56	4069	347	833	167	105	3278	434	1038	85	"solute carrier family 35, member G1"
"Pcsk9"	0	70	36	2007	1	69	199	51	2573	1	57	106	67	3066	3	"proprotein convertase subtilisin/kexin type 9"
"Ctla2a"	30	46	88	44	1846	16	65	70	27	1748	8	33	65	15	1098	"cytotoxic T lymphocyte-associated protein 2 alpha"
"Cnr1"	4425	83	2	1	37	3712	39	3	0	38	4902	48	6	6	33	"cannabinoid receptor 1 (brain)"
"Aplnr"	50	274	319	0	2703	2	387	399	0	1646	9	381	235	3	2116	"apelin receptor"
"Snhg11"	41020	90	1494	278	1638	63871	170	4695	1416	860	46034	144	672	441	2353	"small nucleolar RNA host gene 11"
"BC024139"	34	23	0	193	8	36	68	0	394	5	31	38	0	328	7	"cDNA sequence BC024139"
"Cxxc4"	1169	25	7	16	62	615	31	15	9	46	776	58	6	12	33	"CXXC finger 4"
"Ackr2"	49	16	9	97	1127	42	28	13	163	947	61	15	20	180	2382	"atypical chemokine receptor 2"
"Rasip1"	117	79	238	96	1171	108	72	195	167	1365	93	160	278	142	2514	"Ras interacting protein 1"
"Cnrip1"	1324	54	52	56	224	1162	59	69	24	218	1520	100	34	58	226	"cannabinoid receptor interacting protein 1"
"Csrnp3"	3573	3	78	0	0	2404	0	64	0	0	2799	4	55	0	2	"cysteine-serine-rich nuclear protein 3"
"Plppr4"	6728	6	83	0	7	5994	5	76	3	0	7730	15	73	3	8	"phospholipid phosphatase related 4"
"Kcnj10"	12576	107	1065	63	24	3485	151	1124	61	14	5127	150	1284	29	13	"potassium inwardly-rectifying channel, subfamily J, member 10"
"Dok7"	274	10	21	5	18	262	9	15	5	11	364	35	30	6	72	"docking protein 7"
"Serpinb1a"	337	11236	113	50	423	251	16302	179	99	985	81	7407	95	29	321	"serine (or cysteine) peptidase inhibitor, clade B, member 1a"
"Abca6"	107	1	41	7320	98	95	2	19	6333	51	44	6	6	6378	73	"ATP-binding cassette, sub-family A (ABC1), member 6"
"Scml4"	106	1167	20	6	102	118	1033	29	2	143	115	898	24	0	89	"Scm polycomb group protein like 4"
"Fads6"	757	36	542	3427	82	628	88	580	8534	76	518	117	690	7245	81	"fatty acid desaturase domain family, member 6"
"Zfp354c"	1334	55	80	28	208	1124	46	108	12	158	1222	27	63	15	186	"zinc finger protein 354C"
"D630023F18Rik"	118	81	862	0	0	85	28	854	0	0	119	35	308	3	0	"RIKEN cDNA D630023F18 gene"
"Ankrd45"	1267	1	56	0	120	1339	0	48	0	133	1083	6	59	0	57	"ankyrin repeat domain 45"
"Rassf9"	48	14	120	11	957	27	23	129	5	669	38	13	67	15	509	"Ras association (RalGDS/AF-6) domain family (N-terminal) member 9"
"Wdr72"	5	2	1096	0	136	18	5	1021	0	91	8	10	968	6	15	"WD repeat domain 72"
"Tubg2"	685	18	5	2	22	735	60	18	9	29	489	25	4	3	41	"tubulin, gamma 2"
"Ankrd34b"	901	2	26	0	3	416	0	32	0	4	461	6	47	0	4	"ankyrin repeat domain 34B"
"Tmem232"	50	0	0	0	202	53	0	2	0	194	34	2	6	0	81	"transmembrane protein 232"
"Asxl3"	454	3	138	1	8	311	0	80	3	4	310	4	47	0	2	"ASXL transcriptional regulator 3"
"Cxcr4"	46	228	83	36	1581	20	146	59	18	910	37	342	34	17	1347	"chemokine (C-X-C motif) receptor 4"
"Epcam"	4	23660	1539	32	1105	7	30277	1670	47	1406	5	19189	1712	38	1017	"epithelial cell adhesion molecule"
"Tcf21"	0	232	257	141	1121	2	265	342	126	896	0	373	256	107	2582	"transcription factor 21"
"Prr15"	15	2574	172	4	109	19	4063	276	5	71	24	3228	347	0	64	"proline rich 15"
"Adrb2"	35	61	370	42	2139	34	79	303	25	1539	28	115	588	44	1768	"adrenergic receptor, beta 2"
"Sprn"	3047	2	1	56	26	3604	8	2	44	3	4506	8	0	23	8	"shadow of prion protein"
"Togaram2"	41	1	1	0	499	101	8	1	2	481	76	6	0	0	394	"TOG array regulator of axonemal microtubules 2"
"Basp1"	6985	137	22	28	119	5787	264	42	36	129	7269	375	16	35	101	"brain abundant, membrane attached signal protein 1"
"Slc16a5"	31	3284	333	46	24	38	3559	332	126	18	31	1869	146	116	25	"solute carrier family 16 (monocarboxylic acid transporters), member 5"
"Ccdc42"	7	2	1	0	69	39	3	1	0	60	9	6	55	3	152	"coiled-coil domain containing 42"
"Clec14a"	96	165	405	868	10924	70	131	388	512	8757	52	115	252	473	10105	"C-type lectin domain family 14, member a"
"Cavin2"	214	347	432	577	13823	178	328	775	437	11234	121	473	651	447	15318	"caveolae associated 2"
"Igfals"	2	4	282	5480	8	1	23	179	5204	8	0	67	266	5331	44	"insulin-like growth factor binding protein, acid labile subunit"
"Clec9a"	18	70	55	36	859	6	85	80	76	964	0	194	41	78	915	"C-type lectin domain family 9, member a"
"Hpcal4"	15963	33	37	1	407	24750	37	26	0	246	25922	96	41	6	150	"hippocalcin-like 4"
"Chrm3"	1286	68	99	24	80	1159	62	96	15	47	1404	113	81	52	110	"cholinergic receptor, muscarinic 3, cardiac"
"Gsg1l"	950	7	14	29	128	1518	6	10	10	52	1410	15	2	9	238	"GSG1-like"
"Cym"	2	270	44	6	5	1	199	42	1	1	2	317	53	6	2	"chymosin"
"Rprml"	266	25	6	1	102	465	3	1	0	22	709	6	0	0	83	"reprimo-like"
"Plaur"	4	46	112	7	622	10	52	99	7	653	6	63	112	12	781	"plasminogen activator, urokinase receptor"
"Hepacam"	2012	10	3	1	393	1163	12	6	1	40	1210	0	6	0	84	"hepatocyte cell adhesion molecule"
"Ppm1e"	6465	76	144	5	46	6315	43	101	4	61	7588	79	43	15	33	"protein phosphatase 1E (PP2C domain containing)"
"Nexmif"	1232	20	13	4	178	1063	5	16	0	180	1112	2	8	3	112	"neurite extension and migration factor"
"Tmem150b"	17	1289	6	2	45	26	1176	10	7	38	23	1025	4	9	38	"transmembrane protein 150B"
"Sox18"	50	81	260	127	1031	36	59	139	145	1112	52	144	248	96	2595	"SRY (sex determining region Y)-box 18"
"Lrrc8e"	1	21	19	11	332	1	23	24	5	196	5	50	34	12	277	"leucine rich repeat containing 8 family, member E"
"Olfml2a"	41	65	15	1	560	51	122	74	6	895	55	52	14	6	536	"olfactomedin-like 2A"
"Mapk10"	9759	23	27	1	29	9241	20	23	0	37	9662	27	24	3	56	"mitogen-activated protein kinase 10"
"Gprc5a"	1	740	65	12	11682	2	794	106	12	9410	2	538	63	162	14793	"G protein-coupled receptor, family C, group 5, member A"
"Ppp1r3b"	35	197	61	2595	179	36	96	204	5027	163	24	200	128	5511	158	"protein phosphatase 1, regulatory subunit 3B"
"Gltpd2"	1	49	3	2204	0	0	29	6	2284	0	5	63	10	4136	5	"glycolipid transfer protein domain containing 2"
"Gchfr"	29	77	561	3701	112	2	509	437	4039	20	2	35	483	1984	83	"GTP cyclohydrolase I feedback regulator"
"Vat1l"	2615	44	1	0	5	2036	32	8	0	4	1236	35	2	3	3	"vesicle amine transport protein 1 like"
"Ltb4r1"	3	352	7	33	44	1	378	8	28	36	2	381	2	17	48	"leukotriene B4 receptor 1"
"Myct1"	9	48	143	176	1554	5	48	141	100	1324	0	60	108	99	1210	"myc target 1"
"Cfap65"	160	17	137	0	1763	487	9	107	1	1085	295	23	168	3	1422	"cilia and flagella associated protein 65"
"Neurl3"	7	9227	146	186	612	11	9449	220	275	971	8	6497	150	128	380	"neuralized E3 ubiquitin protein ligase 3"
"Gap43"	4386	31	0	0	364	4107	45	1	0	317	4816	94	4	20	280	"growth associated protein 43"
"Sfn"	7	340	3	0	11	15	1680	60	15	125	3	240	12	3	22	"stratifin"
"Zfp286"	434	12	26	5	69	351	22	32	2	61	448	8	30	3	55	"zinc finger protein 286"
"Flrt2"	2190	29	157	127	378	2027	34	105	8	189	2051	52	49	29	246	"fibronectin leucine rich transmembrane protein 2"
"Flacc1"	1	117	33	2	5	2	284	55	11	19	0	96	20	3	2	"flagellum associated containing coiled-coil domains 1"
"Fcgbp"	2	44971	176	13	136	3	63069	405	11	68	3	32830	424	12	83	"Fc fragment of IgG binding protein"
"Fbxo40"	36	2	2825	7	23	17	0	1516	28	38	3	6	2049	61	41	"F-box protein 40"
"Gjb1"	428	1371	897	36362	46	244	854	1023	33570	15	119	1219	1045	29538	12	"gap junction protein, beta 1"
"Angptl8"	1	81	16	952	26	6	120	21	1541	22	8	135	32	2805	45	"angiopoietin-like 8"
"Diras2"	4893	29	1	0	149	5255	9	3	0	157	6306	27	6	0	136	"DIRAS family, GTP-binding RAS-like 2"
"Sstr2"	373	13	1	41	21	486	9	3	32	43	538	17	0	52	98	"somatostatin receptor 2"
"Tenm4"	3142	68	97	5	54	3140	66	121	10	25	3482	79	168	0	40	"teneurin transmembrane protein 4"
"Ahcyl"	14	52	131	975	9	4	23	56	446	4	9	46	187	452	4	"adenosylhomocysteinase like"
"Tmem72"	27	1	2120	0	5	238	2	1615	0	0	164	0	2660	3	1	"transmembrane protein 72"
"Nat8l"	9091	10	7	2	69	5879	11	127	5	27	7436	19	85	20	93	"N-acetyltransferase 8-like"
"Nwd1"	1491	4	7	0	120	2073	0	3	0	98	1637	4	0	0	47	"NACHT and WD repeat domain containing 1"
"Gpr85"	874	37	19	0	21	812	57	17	0	17	1034	85	28	0	10	"G protein-coupled receptor 85"
"Gng7"	1666	24	27	13	54	3057	29	48	37	42	2472	29	32	3	93	"guanine nucleotide binding protein (G protein), gamma 7"
"Sacs"	3685	100	52	124	227	2266	79	45	53	314	2097	81	34	119	190	"sacsin"
"Dleu7"	139	6	398	0	0	66	3	364	0	0	92	0	383	0	0	"deleted in lymphocytic leukemia, 7"
"Mfsd6l"	1	527	36	2	88	1	572	30	4	105	2	421	24	0	58	"major facilitator superfamily domain containing 6-like"
"Ric3"	2573	116	46	21	123	2391	51	71	23	101	2381	71	69	9	78	"RIC3 acetylcholine receptor chaperone"
"Fam171b"	7958	74	19	1394	153	8463	116	10	57	62	7232	46	12	17	21	"family with sequence similarity 171, member B"
"Mlf1"	15	8	1	5	268	35	9	3	6	421	21	4	39	3	154	"myeloid leukemia factor 1"
"Ranbp3l"	212	14	924	40	7	145	26	1329	24	1	141	21	1065	9	6	"RAN binding protein 3-like"
"Cyp4f16"	68	5029	62	35	181	84	4931	94	51	261	38	3398	59	58	190	"cytochrome P450, family 4, subfamily f, polypeptide 16"
"Inka2"	1385	77	32	6	381	2166	69	25	9	368	2260	125	32	12	519	"inka box actin regulator 2"
"Jaml"	9	1207	9	23	199	6	1218	19	28	158	9	1284	6	52	146	"junction adhesion molecule like"
"Ctxn1"	4158	61	43	8	255	5463	74	45	14	120	6419	135	43	20	215	"cortexin 1"
"Klhl11"	1055	63	120	102	158	756	17	16	75	93	604	8	39	61	35	"kelch-like 11"
"Insc"	87	56	15	392	3	75	31	29	575	0	43	50	34	412	4	"INSC spindle orientation adaptor protein"
"Vstm2a"	2825	1	61	0	39	1848	0	66	0	32	2449	0	95	0	28	"V-set and transmembrane domain containing 2A"
"Slc25a47"	57	35	24	12185	40	77	59	40	25176	68	53	40	24	18615	49	"solute carrier family 25, member 47"
"Cdk5r1"	3930	22	17	18	27	4533	22	13	14	27	4768	85	20	20	36	"cyclin-dependent kinase 5, regulatory subunit 1 (p35)"
"Rimkla"	820	27	20	0	11	384	25	21	2	10	428	58	34	0	25	"ribosomal modification protein rimK-like family member A"
"Bnip5"	231	896	22	7	1	196	808	18	9	0	226	352	24	12	2	"BCL2 interacting protein 5"
"Cdca2"	7	395	23	7	37	6	324	24	16	41	6	417	51	15	41	"cell division cycle associated 2"
"Ndnf"	802	5	5	0	5740	440	3	4	0	3855	429	13	2	0	3468	"neuron-derived neurotrophic factor"
"Ccr2"	7	52	114	44	1011	4	69	142	27	1214	3	81	47	26	618	"chemokine (C-C motif) receptor 2"
"Fam110b"	658	40	64	6	58	622	51	46	14	80	729	71	47	12	58	"family with sequence similarity 110, member B"
"Tenm2"	4551	10	35	2	1	2926	5	45	0	5	4437	25	28	6	5	"teneurin transmembrane protein 2"
"Krt8"	1	17951	668	2584	780	18	31323	1040	6122	1349	2	15482	1288	1508	1098	"keratin 8"
"Rarres1"	38	28	12	3196	24	8	15	15	2842	25	14	52	6	1363	8	"retinoic acid receptor responder (tazarotene induced) 1"
"Pls1"	498	21600	1481	261	459	379	20144	1576	42	459	272	8139	1666	200	509	"plastin 1 (I-isoform)"
